#time magnitude filter
-11.0 17.0 g
-16.0 17.58 i
-14.0 17.31 r
-8.0 16.78 u
-18.0 17.99 y
-17.0 17.81 z
-10.0 16.97 g
-15.0 17.55 i
-13.0 17.27 r
-7.0 16.76 u
-17.0 17.95 y
-16.0 17.77 z
-9.0 16.95 g
-14.0 17.52 i
-12.0 17.25 r
-6.0 16.74 u
-16.0 17.92 y
-15.0 17.74 z
-8.0 16.93 g
-13.0 17.49 i
-11.0 17.22 r
-5.0 16.72 u
-15.0 17.89 y
-14.0 17.71 z
-7.0 16.91 g
-12.0 17.46 i
-10.0 17.2 r
-4.0 16.71 u
-14.0 17.87 y
-13.0 17.68 z
-6.0 16.89 g
-11.0 17.44 i
-9.0 17.18 r
-3.0 16.7 u
-13.0 17.84 y
-12.0 17.66 z
-5.0 16.88 g
-10.0 17.42 i
-8.0 17.16 r
-2.0 16.7 u
-12.0 17.82 y
-11.0 17.64 z
-4.0 16.87 g
-9.0 17.41 i
-7.0 17.15 r
-1.0 16.69 u
-11.0 17.8 y
-10.0 17.62 z
-3.0 16.87 g
-8.0 17.39 i
-6.0 17.14 r
0.0 16.69 u
-10.0 17.78 y
-9.0 17.6 z
-2.0 16.86 g
-7.0 17.38 i
-5.0 17.13 r
1.0 16.69 u
-9.0 17.77 y
-8.0 17.59 z
-1.0 16.86 g
-6.0 17.37 i
-4.0 17.12 r
2.0 16.7 u
-8.0 17.75 y
-7.0 17.58 z
0.0 16.86 g
-5.0 17.36 i
-3.0 17.11 r
3.0 16.7 u
-7.0 17.74 y
-6.0 17.57 z
1.0 16.86 g
-4.0 17.35 i
-2.0 17.11 r
4.0 16.71 u
-6.0 17.73 y
-5.0 17.56 z
2.0 16.86 g
-3.0 17.34 i
-1.0 17.1 r
5.0 16.72 u
-5.0 17.72 y
-4.0 17.55 z
3.0 16.86 g
-2.0 17.34 i
0.0 17.1 r
6.0 16.73 u
-4.0 17.71 y
-3.0 17.54 z
4.0 16.87 g
-1.0 17.34 i
1.0 17.1 r
7.0 16.74 u
-3.0 17.71 y
-2.0 17.54 z
5.0 16.87 g
0.0 17.33 i
2.0 17.1 r
8.0 16.75 u
-2.0 17.7 y
-1.0 17.53 z
6.0 16.88 g
1.0 17.34 i
3.0 17.11 r
9.0 16.77 u
-1.0 17.7 y
0.0 17.53 z
7.0 16.89 g
2.0 17.34 i
4.0 17.11 r
10.0 16.79 u
0.0 17.7 y
1.0 17.53 z
8.0 16.9 g
3.0 17.34 i
5.0 17.12 r
11.0 16.81 u
1.0 17.7 y
2.0 17.54 z
9.0 16.92 g
4.0 17.35 i
6.0 17.13 r
12.0 16.83 u
2.0 17.7 y
3.0 17.54 z
10.0 16.93 g
5.0 17.35 i
7.0 17.14 r
13.0 16.85 u
3.0 17.71 y
4.0 17.54 z
11.0 16.95 g
6.0 17.36 i
8.0 17.15 r
14.0 16.87 u
4.0 17.71 y
5.0 17.55 z
12.0 16.97 g
7.0 17.37 i
9.0 17.16 r
15.0 16.9 u
5.0 17.72 y
6.0 17.56 z
13.0 16.99 g
8.0 17.38 i
10.0 17.17 r
16.0 16.93 u
6.0 17.73 y
7.0 17.57 z
14.0 17.01 g
9.0 17.39 i
11.0 17.19 r
17.0 16.95 u
7.0 17.74 y
8.0 17.58 z
15.0 17.03 g
10.0 17.41 i
12.0 17.21 r
18.0 16.98 u
8.0 17.75 y
9.0 17.59 z
16.0 17.05 g
11.0 17.42 i
13.0 17.23 r
19.0 17.01 u
9.0 17.76 y
10.0 17.6 z
17.0 17.08 g
12.0 17.44 i
14.0 17.25 r
20.0 17.05 u
10.0 17.78 y
11.0 17.62 z
18.0 17.11 g
13.0 17.46 i
15.0 17.27 r
21.0 17.08 u
11.0 17.79 y
12.0 17.64 z
19.0 17.13 g
14.0 17.48 i
16.0 17.29 r
22.0 17.11 u
12.0 17.81 y
13.0 17.66 z
20.0 17.16 g
15.0 17.5 i
17.0 17.31 r
23.0 17.15 u
13.0 17.83 y
14.0 17.68 z
21.0 17.19 g
16.0 17.53 i
18.0 17.34 r
24.0 17.19 u
14.0 17.85 y
15.0 17.7 z
