#time magnitude filter
0.0 16.22 g
0.0 16.92 i
0.0 16.6 r
0.0 15.91 u
0.0 17.37 y
0.0 17.17 z
1.0 16.26 g
1.0 16.96 i
1.0 16.64 r
1.0 15.94 u
1.0 17.42 y
1.0 17.21 z
2.0 16.3 g
2.0 17.01 i
2.0 16.69 r
2.0 15.98 u
2.0 17.46 y
2.0 17.26 z
3.0 16.35 g
3.0 17.06 i
3.0 16.74 r
3.0 16.03 u
3.0 17.52 y
3.0 17.31 z
4.0 16.4 g
4.0 17.12 i
4.0 16.79 r
4.0 16.07 u
4.0 17.57 y
4.0 17.37 z
5.0 16.46 g
5.0 17.17 i
5.0 16.85 r
5.0 16.12 u
5.0 17.63 y
5.0 17.43 z
6.0 16.51 g
6.0 17.24 i
6.0 16.91 r
6.0 16.18 u
6.0 17.7 y
6.0 17.49 z
7.0 16.57 g
7.0 17.3 i
7.0 16.97 r
7.0 16.23 u
7.0 17.76 y
7.0 17.56 z
8.0 16.63 g
8.0 17.37 i
8.0 17.04 r
8.0 16.29 u
8.0 17.83 y
8.0 17.62 z
9.0 16.7 g
9.0 17.44 i
9.0 17.11 r
9.0 16.35 u
9.0 17.9 y
9.0 17.69 z
10.0 16.76 g
10.0 17.51 i
10.0 17.17 r
10.0 16.41 u
10.0 17.97 y
10.0 17.77 z
11.0 16.83 g
11.0 17.58 i
11.0 17.25 r
11.0 16.48 u
11.0 18.05 y
11.0 17.84 z
12.0 16.9 g
12.0 17.65 i
12.0 17.32 r
12.0 16.54 u
12.0 18.12 y
12.0 17.91 z
13.0 16.97 g
13.0 17.73 i
13.0 17.39 r
13.0 16.61 u
13.0 18.2 y
13.0 17.99 z
14.0 17.04 g
14.0 17.8 i
14.0 17.46 r
14.0 16.67 u
14.0 18.28 y
14.0 18.07 z
15.0 17.11 g
15.0 17.88 i
15.0 17.54 r
15.0 16.74 u
15.0 18.35 y
15.0 18.14 z
16.0 17.18 g
16.0 17.95 i
16.0 17.61 r
16.0 16.81 u
16.0 18.43 y
16.0 18.22 z
17.0 17.25 g
17.0 18.03 i
17.0 17.68 r
17.0 16.87 u
17.0 18.51 y
17.0 18.29 z
18.0 17.32 g
18.0 18.1 i
18.0 17.76 r
18.0 16.94 u
18.0 18.58 y
18.0 18.37 z
19.0 17.39 g
19.0 18.17 i
19.0 17.83 r
19.0 17.01 u
19.0 18.66 y
19.0 18.44 z
20.0 17.46 g
20.0 18.25 i
20.0 17.9 r
20.0 17.07 u
20.0 18.73 y
20.0 18.52 z
21.0 17.53 g
21.0 18.32 i
21.0 17.97 r
21.0 17.14 u
21.0 18.81 y
21.0 18.59 z
22.0 17.6 g
22.0 18.39 i
22.0 18.04 r
22.0 17.2 u
22.0 18.88 y
22.0 18.66 z
23.0 17.66 g
23.0 18.46 i
23.0 18.11 r
23.0 17.27 u
23.0 18.95 y
23.0 18.73 z
24.0 17.73 g
24.0 18.53 i
24.0 18.18 r
24.0 17.33 u
24.0 19.02 y
24.0 18.8 z
25.0 17.79 g
25.0 18.6 i
25.0 18.24 r
25.0 17.39 u
25.0 19.09 y
25.0 18.87 z
26.0 17.86 g
26.0 18.67 i
26.0 18.31 r
26.0 17.45 u
26.0 19.16 y
26.0 18.94 z
27.0 17.92 g
27.0 18.73 i
27.0 18.37 r
27.0 17.51 u
27.0 19.22 y
27.0 19.01 z
28.0 17.98 g
28.0 18.8 i
28.0 18.44 r
28.0 17.57 u
28.0 19.29 y
28.0 19.07 z
29.0 18.04 g
29.0 18.86 i
29.0 18.5 r
29.0 17.63 u
29.0 19.35 y
29.0 19.13 z
30.0 18.1 g
30.0 18.92 i
30.0 18.56 r
30.0 17.68 u
30.0 19.42 y
30.0 19.2 z
31.0 18.16 g
31.0 18.98 i
31.0 18.62 r
31.0 17.74 u
31.0 19.48 y
31.0 19.26 z
32.0 18.21 g
32.0 19.04 i
32.0 18.68 r
32.0 17.8 u
32.0 19.54 y
32.0 19.32 z
33.0 18.27 g
33.0 19.1 i
33.0 18.73 r
33.0 17.85 u
33.0 19.6 y
33.0 19.38 z
34.0 18.32 g
34.0 19.16 i
34.0 18.79 r
34.0 17.9 u
34.0 19.65 y
34.0 19.43 z
35.0 18.38 g
35.0 19.21 i
35.0 18.85 r
35.0 17.95 u
35.0 19.71 y
35.0 19.49 z
36.0 18.43 g
36.0 19.27 i
