#time magnitude filter
-8.0 19.75 g
-8.0 20.1 i
-8.0 19.91 r
-8.0 19.64 u
-8.0 20.39 y
-8.0 20.26 z
-7.0 19.72 g
-7.0 20.07 i
-7.0 19.88 r
-7.0 19.61 u
-7.0 20.36 y
-7.0 20.23 z
-6.0 19.7 g
-6.0 20.04 i
-6.0 19.86 r
-6.0 19.59 u
-6.0 20.33 y
-6.0 20.2 z
-5.0 19.68 g
-5.0 20.02 i
-5.0 19.84 r
-5.0 19.57 u
-5.0 20.31 y
-5.0 20.18 z
-4.0 19.66 g
-4.0 20.01 i
-4.0 19.82 r
-4.0 19.56 u
-4.0 20.29 y
-4.0 20.16 z
-3.0 19.65 g
-3.0 19.99 i
-3.0 19.81 r
-3.0 19.55 u
-3.0 20.27 y
-3.0 20.15 z
-2.0 19.64 g
-2.0 19.98 i
-2.0 19.8 r
-2.0 19.54 u
-2.0 20.26 y
-2.0 20.14 z
-1.0 19.64 g
-1.0 19.98 i
-1.0 19.79 r
-1.0 19.54 u
-1.0 20.26 y
-1.0 20.13 z
0.0 19.63 g
0.0 19.97 i
0.0 19.79 r
0.0 19.54 u
0.0 20.26 y
0.0 20.13 z
1.0 19.64 g
1.0 19.98 i
1.0 19.79 r
1.0 19.54 u
1.0 20.26 y
1.0 20.13 z
2.0 19.64 g
2.0 19.98 i
2.0 19.8 r
2.0 19.55 u
2.0 20.26 y
2.0 20.14 z
3.0 19.65 g
3.0 19.99 i
3.0 19.81 r
3.0 19.56 u
3.0 20.27 y
3.0 20.14 z
4.0 19.66 g
4.0 20.0 i
4.0 19.82 r
4.0 19.57 u
4.0 20.28 y
4.0 20.16 z
5.0 19.68 g
5.0 20.02 i
5.0 19.83 r
5.0 19.58 u
5.0 20.3 y
5.0 20.17 z
6.0 19.7 g
6.0 20.03 i
6.0 19.85 r
6.0 19.6 u
6.0 20.31 y
6.0 20.19 z
7.0 19.72 g
7.0 20.05 i
7.0 19.87 r
7.0 19.62 u
7.0 20.33 y
7.0 20.21 z
8.0 19.74 g
8.0 20.08 i
8.0 19.89 r
8.0 19.64 u
8.0 20.36 y
8.0 20.23 z
9.0 19.76 g
9.0 20.1 i
9.0 19.92 r
9.0 19.67 u
9.0 20.38 y
9.0 20.26 z
10.0 19.79 g
10.0 20.13 i
10.0 19.94 r
10.0 19.69 u
10.0 20.41 y
10.0 20.28 z
11.0 19.82 g
11.0 20.16 i
11.0 19.97 r
11.0 19.72 u
11.0 20.44 y
11.0 20.31 z
12.0 19.84 g
12.0 20.19 i
12.0 20.0 r
12.0 19.75 u
12.0 20.47 y
12.0 20.34 z
13.0 19.87 g
13.0 20.22 i
13.0 20.03 r
13.0 19.77 u
13.0 20.5 y
13.0 20.37 z
14.0 19.9 g
14.0 20.25 i
14.0 20.06 r
14.0 19.8 u
14.0 20.53 y
14.0 20.4 z
15.0 19.94 g
15.0 20.28 i
15.0 20.1 r
15.0 19.83 u
15.0 20.57 y
15.0 20.44 z
16.0 19.97 g
16.0 20.32 i
16.0 20.13 r
16.0 19.87 u
16.0 20.6 y
16.0 20.47 z
17.0 20.0 g
17.0 20.35 i
17.0 20.16 r
17.0 19.9 u
17.0 20.63 y
17.0 20.51 z
18.0 20.03 g
18.0 20.38 i
18.0 20.2 r
18.0 19.93 u
18.0 20.67 y
18.0 20.54 z
19.0 20.07 g
19.0 20.42 i
19.0 20.23 r
19.0 19.96 u
19.0 20.7 y
