#time magnitude filter
-41.0 17.2 g
-41.0 17.87 i
-41.0 17.56 r
-41.0 16.85 u
-41.0 18.29 y
-41.0 18.1 z
-40.0 17.0 g
-40.0 17.67 i
-40.0 17.36 r
-40.0 16.66 u
-40.0 18.09 y
-40.0 17.9 z
-39.0 16.82 g
-39.0 17.49 i
-39.0 17.18 r
-39.0 16.49 u
-39.0 17.9 y
-39.0 17.71 z
-38.0 16.66 g
-38.0 17.32 i
-38.0 17.02 r
-38.0 16.33 u
-38.0 17.73 y
-38.0 17.55 z
-37.0 16.51 g
-37.0 17.16 i
-37.0 16.86 r
-37.0 16.18 u
-37.0 17.58 y
-37.0 17.39 z
-36.0 16.37 g
-36.0 17.02 i
-36.0 16.72 r
-36.0 16.04 u
-36.0 17.43 y
-36.0 17.24 z
-35.0 16.24 g
-35.0 16.89 i
-35.0 16.59 r
-35.0 15.92 u
-35.0 17.3 y
-35.0 17.11 z
-34.0 16.12 g
-34.0 16.77 i
-34.0 16.47 r
-34.0 15.8 u
-34.0 17.17 y
-34.0 16.99 z
-33.0 16.01 g
-33.0 16.65 i
-33.0 16.36 r
-33.0 15.7 u
-33.0 17.06 y
-33.0 16.87 z
-32.0 15.91 g
-32.0 16.55 i
-32.0 16.25 r
-32.0 15.6 u
-32.0 16.95 y
-32.0 16.77 z
-31.0 15.81 g
-31.0 16.45 i
-31.0 16.15 r
-31.0 15.51 u
-31.0 16.85 y
-31.0 16.67 z
-30.0 15.72 g
-30.0 16.36 i
-30.0 16.06 r
-30.0 15.42 u
-30.0 16.76 y
-30.0 16.57 z
-29.0 15.64 g
-29.0 16.27 i
-29.0 15.98 r
-29.0 15.34 u
-29.0 16.67 y
-29.0 16.49 z
-28.0 15.57 g
-28.0 16.19 i
-28.0 15.9 r
-28.0 15.26 u
-28.0 16.59 y
-28.0 16.41 z
-27.0 15.49 g
-27.0 16.11 i
-27.0 15.83 r
-27.0 15.19 u
-27.0 16.51 y
-27.0 16.33 z
-26.0 15.43 g
-26.0 16.04 i
