#time magnitude filter
-37.0 20.5 g
-37.0 21.25 i
-37.0 20.92 r
-36.0 20.14 u
-38.0 21.72 y
-37.0 21.51 z
-36.0 20.21 g
-36.0 20.96 i
-36.0 20.62 r
-35.0 19.86 u
-37.0 21.42 y
-36.0 21.21 z
-35.0 19.97 g
-35.0 20.71 i
-35.0 20.38 r
-34.0 19.62 u
-36.0 21.18 y
-35.0 20.97 z
-34.0 19.77 g
-34.0 20.51 i
-34.0 20.18 r
-33.0 19.42 u
-35.0 20.97 y
-34.0 20.77 z
-33.0 19.6 g
-33.0 20.34 i
-33.0 20.01 r
-32.0 19.25 u
-34.0 20.8 y
-33.0 20.6 z
-32.0 19.46 g
-32.0 20.19 i
-32.0 19.86 r
-31.0 19.11 u
-33.0 20.65 y
-32.0 20.45 z
-31.0 19.33 g
-31.0 20.06 i
-31.0 19.73 r
-30.0 18.98 u
-32.0 20.52 y
-31.0 20.32 z
-30.0 19.21 g
-30.0 19.94 i
-30.0 19.62 r
-29.0 18.87 u
-31.0 20.4 y
-30.0 20.2 z
-29.0 19.11 g
-29.0 19.84 i
-29.0 19.51 r
-28.0 18.77 u
-30.0 20.3 y
-29.0 20.1 z
-28.0 19.02 g
-28.0 19.75 i
-28.0 19.42 r
-27.0 18.68 u
-29.0 20.21 y
-28.0 20.0 z
-27.0 18.94 g
-27.0 19.67 i
-27.0 19.34 r
-26.0 18.6 u
-28.0 20.12 y
-27.0 19.92 z
-26.0 18.87 g
-26.0 19.59 i
-26.0 19.27 r
-25.0 18.53 u
-27.0 20.05 y
-26.0 19.85 z
-25.0 18.8 g
-25.0 19.52 i
-25.0 19.2 r
-24.0 18.46 u
-26.0 19.98 y
-25.0 19.78 z
-24.0 18.74 g
-24.0 19.46 i
-24.0 19.14 r
-23.0 18.41 u
-25.0 19.92 y
-24.0 19.71 z
-23.0 18.69 g
-23.0 19.4 i
-23.0 19.08 r
-22.0 18.35 u
-24.0 19.86 y
-23.0 19.66 z
-22.0 18.63 g
-22.0 19.35 i
-22.0 19.03 r
-21.0 18.3 u
-23.0 19.81 y
-22.0 19.6 z
-21.0 18.59 g
-21.0 19.3 i
-21.0 18.98 r
-20.0 18.26 u
-22.0 19.76 y
-21.0 19.56 z
-20.0 18.54 g
-20.0 19.26 i
-20.0 18.94 r
-19.0 18.21 u
-21.0 19.71 y
-20.0 19.51 z
-19.0 18.5 g
-19.0 19.22 i
-19.0 18.89 r
-18.0 18.17 u
-20.0 19.67 y
-19.0 19.47 z
-18.0 18.47 g
-18.0 19.18 i
-18.0 18.86 r
-17.0 18.14 u
-19.0 19.63 y
-18.0 19.43 z
-17.0 18.43 g
-17.0 19.14 i
-17.0 18.82 r
-16.0 18.11 u
-18.0 19.59 y
-17.0 19.39 z
-16.0 18.4 g
-16.0 19.11 i
-16.0 18.79 r
-15.0 18.08 u
-17.0 19.56 y
-16.0 19.36 z
-15.0 18.37 g
-15.0 19.08 i
-15.0 18.76 r
-14.0 18.05 u
