#time magnitude filter
-48.0 19.36 g
-52.0 20.02 i
-50.0 19.72 r
-45.0 19.08 u
-54.0 20.46 y
-53.0 20.26 z
-47.0 19.31 g
-51.0 19.97 i
-49.0 19.67 r
-44.0 19.03 u
-53.0 20.41 y
-52.0 20.22 z
-46.0 19.27 g
-50.0 19.93 i
-48.0 19.62 r
-43.0 18.99 u
-52.0 20.37 y
-51.0 20.17 z
-45.0 19.22 g
-49.0 19.88 i
-47.0 19.58 r
-42.0 18.94 u
-51.0 20.33 y
-50.0 20.13 z
-44.0 19.18 g
-48.0 19.84 i
-46.0 19.54 r
-41.0 18.9 u
-50.0 20.28 y
-49.0 20.09 z
-43.0 19.14 g
-47.0 19.81 i
-45.0 19.5 r
-40.0 18.86 u
-49.0 20.25 y
-48.0 20.05 z
-42.0 19.11 g
-46.0 19.77 i
-44.0 19.46 r
-39.0 18.82 u
-48.0 20.21 y
-47.0 20.01 z
-41.0 19.07 g
-45.0 19.73 i
-43.0 19.43 r
-38.0 18.79 u
-47.0 20.17 y
-46.0 19.98 z
-40.0 19.04 g
-44.0 19.7 i
-42.0 19.4 r
-37.0 18.76 u
-46.0 20.14 y
-45.0 19.94 z
-39.0 19.01 g
-43.0 19.67 i
-41.0 19.36 r
-36.0 18.72 u
-45.0 20.11 y
-44.0 19.91 z
-38.0 18.98 g
-42.0 19.64 i
-40.0 19.33 r
-35.0 18.69 u
-44.0 20.08 y
-43.0 19.88 z
-37.0 18.95 g
-41.0 19.61 i
-39.0 19.3 r
-34.0 18.67 u
-43.0 20.05 y
-42.0 19.85 z
-36.0 18.92 g
-40.0 19.58 i
-38.0 19.28 r
-33.0 18.64 u
-42.0 20.02 y
-41.0 19.82 z
-35.0 18.89 g
-39.0 19.55 i
-37.0 19.25 r
-32.0 18.61 u
-41.0 19.99 y
-40.0 19.8 z
-34.0 18.87 g
-38.0 19.53 i
-36.0 19.23 r
-31.0 18.59 u
-40.0 19.97 y
-39.0 19.77 z
-33.0 18.85 g
-37.0 19.51 i
-35.0 19.2 r
-30.0 18.57 u
-39.0 19.95 y
-38.0 19.75 z
-32.0 18.82 g
-36.0 19.48 i
-34.0 19.18 r
-29.0 18.54 u
-38.0 19.92 y
-37.0 19.73 z
-31.0 18.8 g
-35.0 19.46 i
-33.0 19.16 r
-28.0 18.52 u
-37.0 19.9 y
-36.0 19.71 z
-30.0 18.78 g
-34.0 19.44 i
-32.0 19.14 r
-27.0 18.5 u
-36.0 19.88 y
-35.0 19.68 z
-29.0 18.76 g
-33.0 19.42 i
-31.0 19.12 r
-26.0 18.49 u
-35.0 19.86 y
-34.0 19.67 z
-28.0 18.75 g
-32.0 19.4 i
-30.0 19.1 r
-25.0 18.47 u
-34.0 19.84 y
-33.0 19.65 z
-27.0 18.73 g
-31.0 19.39 i
-29.0 19.09 r
-24.0 18.45 u
-33.0 19.83 y
-32.0 19.63 z
-26.0 18.71 g
-30.0 19.37 i
-28.0 19.07 r
-23.0 18.44 u
-32.0 19.81 y
-31.0 19.61 z
-25.0 18.7 g
-29.0 19.36 i
-27.0 19.05 r
-22.0 18.43 u
-31.0 19.79 y
-30.0 19.6 z
-24.0 18.69 g
-28.0 19.34 i
-26.0 19.04 r
-21.0 18.41 u
-30.0 19.78 y
-29.0 19.58 z
-23.0 18.67 g
-27.0 19.33 i
-25.0 19.03 r
-20.0 18.4 u
-29.0 19.77 y
-28.0 19.57 z
-22.0 18.66 g
-26.0 19.31 i
-24.0 19.01 r
-19.0 18.39 u
-28.0 19.75 y
-27.0 19.56 z
-21.0 18.65 g
-25.0 19.3 i
-23.0 19.0 r
-18.0 18.38 u
-27.0 19.74 y
-26.0 19.54 z
-20.0 18.64 g
-24.0 19.29 i
-22.0 18.99 r
-17.0 18.37 u
-26.0 19.73 y
-25.0 19.53 z
-19.0 18.63 g
-23.0 19.28 i
-21.0 18.98 r
-16.0 18.36 u
-25.0 19.72 y
-24.0 19.52 z
-18.0 18.62 g
-22.0 19.27 i
-20.0 18.97 r
-15.0 18.35 u
-24.0 19.71 y
-23.0 19.51 z
-17.0 18.61 g
-21.0 19.26 i
-19.0 18.96 r
-14.0 18.35 u
-23.0 19.7 y
-22.0 19.5 z
-16.0 18.61 g
-20.0 19.25 i
-18.0 18.95 r
-13.0 18.34 u
-22.0 19.69 y
-21.0 19.49 z
-15.0 18.6 g
-19.0 19.24 i
-17.0 18.95 r
-12.0 18.33 u
-21.0 19.68 y
-20.0 19.49 z
-14.0 18.59 g
-18.0 19.24 i
-16.0 18.94 r
-11.0 18.33 u
-20.0 19.67 y
-19.0 19.48 z
-13.0 18.59 g
-17.0 19.23 i
-15.0 18.93 r
-10.0 18.32 u
-19.0 19.66 y
-18.0 19.47 z
-12.0 18.58 g
-16.0 19.22 i
-14.0 18.93 r
-9.0 18.32 u
-18.0 19.66 y
-17.0 19.46 z
-11.0 18.58 g
-15.0 19.22 i
-13.0 18.92 r
-8.0 18.31 u
-17.0 19.65 y
-16.0 19.46 z
-10.0 18.57 g
-14.0 19.21 i
-12.0 18.92 r
-7.0 18.31 u
-16.0 19.64 y
-15.0 19.45 z
-9.0 18.57 g
-13.0 19.21 i
-11.0 18.91 r
-6.0 18.31 u
-15.0 19.64 y
-14.0 19.45 z
-8.0 18.57 g
-12.0 19.2 i
-10.0 18.91 r
-5.0 18.31 u
-14.0 19.63 y
-13.0 19.44 z
-7.0 18.56 g
-11.0 19.2 i
-9.0 18.9 r
-4.0 18.3 u
-13.0 19.63 y
