#time magnitude filter
-30.0 19.99 g
-30.0 20.88 i
-30.0 20.49 r
-30.0 19.52 u
-30.0 21.4 y
-30.0 21.17 z
-29.0 19.83 g
-29.0 20.72 i
-29.0 20.33 r
-29.0 19.37 u
-29.0 21.24 y
-29.0 21.01 z
-28.0 19.7 g
-28.0 20.58 i
-28.0 20.2 r
-28.0 19.23 u
-28.0 21.1 y
-28.0 20.87 z
-27.0 19.58 g
-27.0 20.46 i
-27.0 20.08 r
-27.0 19.12 u
-27.0 20.98 y
-27.0 20.75 z
-26.0 19.48 g
-26.0 20.36 i
-26.0 19.98 r
-26.0 19.02 u
-26.0 20.87 y
-26.0 20.65 z
-25.0 19.39 g
-25.0 20.27 i
-25.0 19.89 r
-25.0 18.94 u
-25.0 20.78 y
-25.0 20.56 z
-24.0 19.32 g
-24.0 20.19 i
-24.0 19.81 r
-24.0 18.87 u
-24.0 20.71 y
-24.0 20.48 z
-23.0 19.25 g
-23.0 20.12 i
-23.0 19.74 r
-23.0 18.8 u
-23.0 20.64 y
-23.0 20.41 z
-22.0 19.19 g
-22.0 20.06 i
-22.0 19.68 r
-22.0 18.74 u
-22.0 20.57 y
-22.0 20.35 z
-21.0 19.14 g
-21.0 20.0 i
-21.0 19.63 r
-21.0 18.69 u
-21.0 20.52 y
-21.0 20.29 z
-20.0 19.09 g
-20.0 19.95 i
-20.0 19.58 r
-20.0 18.64 u
-20.0 20.46 y
-20.0 20.24 z
-19.0 19.04 g
-19.0 19.91 i
-19.0 19.53 r
-19.0 18.6 u
-19.0 20.42 y
-19.0 20.19 z
-18.0 19.0 g
-18.0 19.87 i
-18.0 19.49 r
-18.0 18.56 u
-18.0 20.38 y
-18.0 20.15 z
-17.0 18.97 g
-17.0 19.83 i
-17.0 19.45 r
-17.0 18.52 u
-17.0 20.34 y
-17.0 20.11 z
-16.0 18.93 g
-16.0 19.79 i
-16.0 19.42 r
-16.0 18.49 u
-16.0 20.3 y
-16.0 20.08 z
-15.0 18.9 g
-15.0 19.76 i
-15.0 19.39 r
-15.0 18.46 u
-15.0 20.27 y
-15.0 20.05 z
-14.0 18.88 g
-14.0 19.74 i
-14.0 19.36 r
-14.0 18.44 u
-14.0 20.24 y
-14.0 20.02 z
-13.0 18.85 g
-13.0 19.71 i
-13.0 19.34 r
-13.0 18.41 u
-13.0 20.22 y
-13.0 20.0 z
-12.0 18.83 g
-12.0 19.69 i
-12.0 19.31 r
-12.0 18.39 u
-12.0 20.2 y
-12.0 19.97 z
-11.0 18.81 g
-11.0 19.67 i
-11.0 19.29 r
-11.0 18.37 u
-11.0 20.17 y
-11.0 19.95 z
-10.0 18.79 g
-10.0 19.65 i
-10.0 19.27 r
-10.0 18.35 u
-10.0 20.16 y
-10.0 19.93 z
-9.0 18.78 g
-9.0 19.63 i
-9.0 19.26 r
-9.0 18.34 u
-9.0 20.14 y
-9.0 19.92 z
-8.0 18.76 g
-8.0 19.62 i
-8.0 19.24 r
-8.0 18.33 u
-8.0 20.12 y
-8.0 19.9 z
-7.0 18.75 g
-7.0 19.6 i
-7.0 19.23 r
-7.0 18.31 u
-7.0 20.11 y
-7.0 19.89 z
-6.0 18.74 g
-6.0 19.59 i
-6.0 19.22 r
-6.0 18.3 u
-6.0 20.1 y
-6.0 19.88 z
-5.0 18.73 g
-5.0 19.58 i
-5.0 19.21 r
-5.0 18.29 u
-5.0 20.09 y
-5.0 19.87 z
-4.0 18.72 g
-4.0 19.58 i
-4.0 19.2 r
-4.0 18.29 u
-4.0 20.08 y
-4.0 19.86 z
-3.0 18.72 g
-3.0 19.57 i
-3.0 19.2 r
-3.0 18.28 u
-3.0 20.08 y
-3.0 19.85 z
-2.0 18.71 g
-2.0 19.57 i
-2.0 19.19 r
-2.0 18.28 u
-2.0 20.07 y
-2.0 19.85 z
-1.0 18.71 g
-1.0 19.56 i
-1.0 19.19 r
-1.0 18.28 u
-1.0 20.07 y
-1.0 19.85 z
0.0 18.71 g
0.0 19.56 i
0.0 19.19 r
0.0 18.28 u
0.0 20.07 y
0.0 19.85 z
1.0 18.71 g
1.0 19.56 i
1.0 19.19 r
1.0 18.28 u
1.0 20.07 y
1.0 19.85 z
2.0 18.71 g
2.0 19.56 i
2.0 19.19 r
2.0 18.28 u
2.0 20.07 y
2.0 19.85 z
3.0 18.72 g
3.0 19.57 i
3.0 19.2 r
3.0 18.28 u
3.0 20.07 y
3.0 19.85 z
4.0 18.72 g
4.0 19.57 i
4.0 19.2 r
4.0 18.29 u
4.0 20.08 y
4.0 19.86 z
5.0 18.73 g
5.0 19.58 i
5.0 19.21 r
5.0 18.29 u
5.0 20.08 y
5.0 19.86 z
6.0 18.73 g
6.0 19.58 i
6.0 19.21 r
6.0 18.3 u
6.0 20.09 y
6.0 19.87 z
7.0 18.74 g
7.0 19.59 i
7.0 19.22 r
7.0 18.31 u
7.0 20.1 y
7.0 19.88 z
8.0 18.75 g
8.0 19.6 i
8.0 19.23 r
8.0 18.32 u
8.0 20.11 y
8.0 19.89 z
9.0 18.76 g
9.0 19.61 i
9.0 19.24 r
9.0 18.33 u
9.0 20.12 y
9.0 19.9 z
10.0 18.77 g
10.0 19.62 i
10.0 19.25 r
10.0 18.34 u
10.0 20.13 y
10.0 19.91 z
11.0 18.78 g
11.0 19.64 i
11.0 19.26 r
11.0 18.35 u
11.0 20.14 y
11.0 19.92 z
12.0 18.8 g
12.0 19.65 i
12.0 19.28 r
12.0 18.36 u
12.0 20.16 y
12.0 19.93 z
13.0 18.81 g
13.0 19.66 i
13.0 19.29 r
13.0 18.37 u
13.0 20.17 y
13.0 19.95 z
14.0 18.83 g
14.0 19.68 i
14.0 19.31 r
14.0 18.39 u
14.0 20.19 y
14.0 19.96 z
15.0 18.84 g
15.0 19.69 i
15.0 19.32 r
15.0 18.4 u
15.0 20.2 y
15.0 19.98 z
16.0 18.86 g
16.0 19.71 i
16.0 19.34 r
16.0 18.42 u
16.0 20.22 y
16.0 19.99 z
17.0 18.87 g
17.0 19.73 i
17.0 19.35 r
17.0 18.43 u
17.0 20.23 y
17.0 20.01 z
18.0 18.89 g
18.0 19.74 i
18.0 19.37 r
18.0 18.45 u
18.0 20.25 y
18.0 20.03 z
19.0 18.9 g
19.0 19.76 i
19.0 19.39 r
19.0 18.46 u
19.0 20.27 y
19.0 20.05 z
20.0 18.92 g
20.0 19.78 i
20.0 19.4 r
20.0 18.48 u
20.0 20.29 y
20.0 20.06 z
21.0 18.94 g
21.0 19.8 i
21.0 19.42 r
21.0 18.5 u
21.0 20.3 y
21.0 20.08 z
22.0 18.96 g
22.0 19.81 i
22.0 19.44 r
22.0 18.52 u
22.0 20.32 y
22.0 20.1 z
23.0 18.97 g
23.0 19.83 i
23.0 19.46 r
23.0 18.53 u
23.0 20.34 y
23.0 20.12 z
24.0 18.99 g
24.0 19.85 i
24.0 19.48 r
24.0 18.55 u
24.0 20.36 y
24.0 20.14 z
25.0 19.01 g
25.0 19.87 i
25.0 19.49 r
25.0 18.57 u
25.0 20.38 y
25.0 20.15 z
26.0 19.03 g
26.0 19.89 i
26.0 19.51 r
26.0 18.58 u
26.0 20.4 y
26.0 20.17 z
27.0 19.04 g
27.0 19.9 i
27.0 19.53 r
27.0 18.6 u
27.0 20.41 y
27.0 20.19 z
28.0 19.06 g
28.0 19.92 i
28.0 19.55 r
28.0 18.62 u
28.0 20.43 y
28.0 20.21 z
29.0 19.08 g
29.0 19.94 i
29.0 19.57 r
29.0 18.64 u
29.0 20.45 y
29.0 20.23 z
30.0 19.1 g
30.0 19.96 i
30.0 19.58 r
30.0 18.65 u
30.0 20.47 y
30.0 20.25 z
31.0 19.12 g
31.0 19.98 i
31.0 19.6 r
31.0 18.67 u
31.0 20.49 y
31.0 20.26 z
32.0 19.13 g
32.0 19.99 i
32.0 19.62 r
32.0 18.69 u
32.0 20.51 y
32.0 20.28 z
33.0 19.15 g
33.0 20.01 i
33.0 19.64 r
33.0 18.7 u
33.0 20.52 y
33.0 20.3 z
34.0 19.17 g
34.0 20.03 i
34.0 19.65 r
34.0 18.72 u
34.0 20.54 y
34.0 20.32 z
35.0 19.18 g
35.0 20.05 i
35.0 19.67 r
35.0 18.74 u
35.0 20.56 y
35.0 20.34 z
36.0 19.2 g
36.0 20.07 i
36.0 19.69 r
36.0 18.75 u
36.0 20.58 y
36.0 20.35 z
37.0 19.22 g
37.0 20.08 i
37.0 19.71 r
37.0 18.77 u
37.0 20.6 y
37.0 20.37 z
38.0 19.23 g
38.0 20.1 i
38.0 19.72 r
38.0 18.79 u
38.0 20.61 y
38.0 20.39 z
39.0 19.25 g
39.0 20.12 i
39.0 19.74 r
39.0 18.8 u
39.0 20.63 y
39.0 20.4 z
40.0 19.27 g
40.0 20.13 i
40.0 19.76 r
40.0 18.82 u
40.0 20.65 y
40.0 20.42 z
41.0 19.28 g
41.0 20.15 i
41.0 19.77 r
41.0 18.83 u
41.0 20.66 y
41.0 20.44 z
42.0 19.3 g
42.0 20.17 i
42.0 19.79 r
42.0 18.85 u
42.0 20.68 y
42.0 20.46 z
43.0 19.32 g
43.0 20.18 i
43.0 19.81 r
43.0 18.87 u
43.0 20.7 y
43.0 20.47 z
44.0 19.33 g
44.0 20.2 i
44.0 19.82 r
44.0 18.88 u
44.0 20.71 y
44.0 20.49 z
45.0 19.35 g
45.0 20.22 i
45.0 19.84 r
45.0 18.9 u
45.0 20.73 y
45.0 20.5 z
46.0 19.36 g
46.0 20.23 i
46.0 19.85 r
46.0 18.91 u
46.0 20.75 y
46.0 20.52 z
47.0 19.38 g
47.0 20.25 i
47.0 19.87 r
47.0 18.93 u
47.0 20.76 y
47.0 20.54 z
48.0 19.4 g
48.0 20.27 i
48.0 19.89 r
48.0 18.94 u
48.0 20.78 y
48.0 20.55 z
49.0 19.41 g
49.0 20.28 i
49.0 19.9 r
49.0 18.96 u
49.0 20.8 y
49.0 20.57 z
50.0 19.43 g
50.0 20.3 i
50.0 19.92 r
50.0 18.97 u
50.0 20.81 y
50.0 20.59 z
51.0 19.44 g
51.0 20.31 i
51.0 19.93 r
51.0 18.99 u
51.0 20.83 y
51.0 20.6 z
52.0 19.46 g
52.0 20.33 i
52.0 19.95 r
52.0 19.0 u
52.0 20.84 y
52.0 20.62 z
53.0 19.47 g
53.0 20.34 i
53.0 19.97 r
53.0 19.02 u
53.0 20.86 y
53.0 20.63 z
54.0 19.49 g
54.0 20.36 i
54.0 19.98 r
54.0 19.03 u
54.0 20.88 y
54.0 20.65 z
55.0 19.5 g
55.0 20.38 i
55.0 20.0 r
55.0 19.05 u
55.0 20.89 y
55.0 20.67 z
56.0 19.52 g
56.0 20.39 i
56.0 20.01 r
56.0 19.06 u
56.0 20.91 y
56.0 20.68 z
57.0 19.53 g
57.0 20.41 i
57.0 20.03 r
57.0 19.08 u
57.0 20.92 y
57.0 20.7 z
58.0 19.55 g
58.0 20.42 i
58.0 20.04 r
58.0 19.09 u
58.0 20.94 y
58.0 20.71 z
59.0 19.56 g
59.0 20.44 i
59.0 20.06 r
59.0 19.11 u
59.0 20.95 y
59.0 20.73 z
60.0 19.58 g
60.0 20.45 i
60.0 20.07 r
60.0 19.12 u
60.0 20.97 y
60.0 20.74 z
61.0 19.59 g
61.0 20.47 i
61.0 20.09 r
61.0 19.14 u
61.0 20.99 y
61.0 20.76 z
62.0 19.61 g
62.0 20.49 i
62.0 20.1 r
62.0 19.15 u
62.0 21.0 y
62.0 20.78 z
63.0 19.62 g
63.0 20.5 i
63.0 20.12 r
63.0 19.17 u
63.0 21.02 y
63.0 20.79 z
64.0 19.64 g
64.0 20.52 i
64.0 20.14 r
64.0 19.18 u
64.0 21.03 y
64.0 20.81 z
65.0 19.65 g
65.0 20.53 i
65.0 20.15 r
65.0 19.2 u
65.0 21.05 y
65.0 20.82 z
66.0 19.67 g
66.0 20.55 i
66.0 20.17 r
66.0 19.21 u
66.0 21.06 y
66.0 20.84 z
67.0 19.68 g
67.0 20.56 i
67.0 20.18 r
67.0 19.23 u
67.0 21.08 y
67.0 20.85 z
68.0 19.7 g
68.0 20.58 i
68.0 20.2 r
68.0 19.24 u
68.0 21.09 y
68.0 20.87 z
69.0 19.71 g
69.0 20.59 i
69.0 20.21 r
69.0 19.26 u
