#time magnitude filter
-28.0 17.06 g
-29.0 17.77 i
-29.0 17.45 r
-27.0 16.73 u
-29.0 18.23 y
-29.0 18.03 z
-27.0 16.82 g
-28.0 17.52 i
-28.0 17.2 r
-26.0 16.51 u
-28.0 17.97 y
-28.0 17.77 z
-26.0 16.62 g
-27.0 17.31 i
-27.0 17.0 r
-25.0 16.32 u
-27.0 17.76 y
-27.0 17.56 z
-25.0 16.45 g
-26.0 17.13 i
-26.0 16.82 r
-24.0 16.16 u
-26.0 17.57 y
-26.0 17.37 z
-24.0 16.3 g
-25.0 16.97 i
-25.0 16.67 r
-23.0 16.02 u
-25.0 17.41 y
-25.0 17.22 z
-23.0 16.17 g
-24.0 16.83 i
-24.0 16.53 r
-22.0 15.9 u
-24.0 17.27 y
-24.0 17.08 z
-22.0 16.06 g
-23.0 16.71 i
-23.0 16.41 r
-21.0 15.79 u
-23.0 17.15 y
-23.0 16.95 z
-21.0 15.96 g
-22.0 16.6 i
-22.0 16.31 r
-20.0 15.69 u
-22.0 17.04 y
-22.0 16.84 z
-20.0 15.87 g
-21.0 16.51 i
-21.0 16.21 r
-19.0 15.61 u
-21.0 16.94 y
-21.0 16.75 z
-19.0 15.79 g
-20.0 16.42 i
-20.0 16.13 r
-18.0 15.53 u
-20.0 16.85 y
-20.0 16.66 z
-18.0 15.71 g
-19.0 16.34 i
-19.0 16.05 r
-17.0 15.46 u
-19.0 16.77 y
-19.0 16.58 z
-17.0 15.65 g
-18.0 16.27 i
-18.0 15.98 r
-16.0 15.4 u
-18.0 16.69 y
-18.0 16.5 z
-16.0 15.59 g
-17.0 16.2 i
-17.0 15.91 r
-15.0 15.34 u
-17.0 16.63 y
-17.0 16.44 z
-15.0 15.53 g
-16.0 16.14 i
-16.0 15.86 r
-14.0 15.29 u
-16.0 16.56 y
-16.0 16.37 z
-14.0 15.48 g
-15.0 16.09 i
-15.0 15.8 r
-13.0 15.25 u
-15.0 16.51 y
-15.0 16.32 z
-13.0 15.44 g
-14.0 16.04 i
-14.0 15.75 r
-12.0 15.2 u
-14.0 16.46 y
-14.0 16.27 z
-12.0 15.39 g
-13.0 15.99 i
-13.0 15.71 r
-11.0 15.17 u
-13.0 16.41 y
-13.0 16.22 z
-11.0 15.36 g
-12.0 15.95 i
-12.0 15.67 r
-10.0 15.13 u
-12.0 16.37 y
-12.0 16.18 z
-10.0 15.32 g
-11.0 15.91 i
-11.0 15.64 r
-9.0 15.1 u
-11.0 16.33 y
-11.0 16.14 z
-9.0 15.3 g
-10.0 15.88 i
-10.0 15.6 r
-8.0 15.08 u
-10.0 16.29 y
-10.0 16.11 z
-8.0 15.27 g
-9.0 15.85 i
-9.0 15.58 r
-7.0 15.05 u
-9.0 16.26 y
-9.0 16.08 z
-7.0 15.25 g
-8.0 15.82 i
-8.0 15.55 r
-6.0 15.03 u
-8.0 16.23 y
-8.0 16.05 z
-6.0 15.23 g
-7.0 15.8 i
-7.0 15.53 r
-5.0 15.02 u
-7.0 16.21 y
-7.0 16.03 z
-5.0 15.21 g
-6.0 15.78 i
-6.0 15.51 r
-4.0 15.01 u
-6.0 16.19 y
-6.0 16.01 z
-4.0 15.2 g
-5.0 15.77 i
-5.0 15.5 r
-3.0 15.0 u
-5.0 16.17 y
-5.0 15.99 z
-3.0 15.19 g
-4.0 15.75 i
-4.0 15.48 r
-2.0 14.99 u
-4.0 16.16 y
-4.0 15.98 z
-2.0 15.18 g
-3.0 15.74 i
-3.0 15.48 r
-1.0 14.98 u
-3.0 16.15 y
-3.0 15.97 z
-1.0 15.18 g
-2.0 15.74 i
-2.0 15.47 r
0.0 14.98 u
-2.0 16.14 y
-2.0 15.96 z
0.0 15.18 g
-1.0 15.73 i
-1.0 15.47 r
1.0 14.98 u
-1.0 16.14 y
-1.0 15.95 z
1.0 15.18 g
0.0 15.73 i
0.0 15.47 r
2.0 14.99 u
0.0 16.13 y
0.0 15.95 z
2.0 15.18 g
1.0 15.73 i
1.0 15.47 r
3.0 14.99 u
1.0 16.13 y
1.0 15.95 z
3.0 15.19 g
2.0 15.74 i
2.0 15.47 r
4.0 15.0 u
