#time magnitude filter
-21.0 19.24 g
-25.0 19.72 i
-24.0 19.48 r
-19.0 19.11 u
-27.0 20.1 y
-26.0 19.93 z
-20.0 19.17 g
-24.0 19.65 i
-23.0 19.41 r
-18.0 19.05 u
-26.0 20.03 y
-25.0 19.86 z
-19.0 19.12 g
-23.0 19.59 i
-22.0 19.35 r
-17.0 19.0 u
-25.0 19.96 y
-24.0 19.79 z
-18.0 19.06 g
-22.0 19.53 i
-21.0 19.3 r
-16.0 18.95 u
-24.0 19.91 y
-23.0 19.74 z
-17.0 19.02 g
-21.0 19.48 i
-20.0 19.25 r
-15.0 18.9 u
-23.0 19.85 y
-22.0 19.68 z
-16.0 18.97 g
-20.0 19.43 i
-19.0 19.2 r
-14.0 18.86 u
-22.0 19.8 y
-21.0 19.63 z
-15.0 18.93 g
-19.0 19.38 i
-18.0 19.15 r
-13.0 18.82 u
-21.0 19.75 y
-20.0 19.58 z
-14.0 18.89 g
-18.0 19.34 i
-17.0 19.11 r
-12.0 18.79 u
-20.0 19.71 y
-19.0 19.54 z
-13.0 18.86 g
-17.0 19.3 i
-16.0 19.08 r
-11.0 18.76 u
-19.0 19.67 y
-18.0 19.5 z
-12.0 18.83 g
-16.0 19.27 i
-15.0 19.04 r
-10.0 18.73 u
-18.0 19.63 y
-17.0 19.46 z
-11.0 18.8 g
-15.0 19.23 i
-14.0 19.01 r
-9.0 18.71 u
-17.0 19.59 y
-16.0 19.43 z
-10.0 18.77 g
-14.0 19.2 i
-13.0 18.98 r
-8.0 18.69 u
-16.0 19.56 y
-15.0 19.4 z
-9.0 18.75 g
-13.0 19.17 i
-12.0 18.95 r
-7.0 18.67 u
-15.0 19.53 y
-14.0 19.37 z
-8.0 18.73 g
-12.0 19.15 i
-11.0 18.93 r
-6.0 18.66 u
-14.0 19.5 y
-13.0 19.34 z
-7.0 18.71 g
-11.0 19.12 i
-10.0 18.91 r
-5.0 18.64 u
-13.0 19.48 y
-12.0 19.32 z
-6.0 18.7 g
-10.0 19.1 i
-9.0 18.89 r
-4.0 18.63 u
-12.0 19.46 y
-11.0 19.29 z
-5.0 18.69 g
-9.0 19.09 i
-8.0 18.88 r
-3.0 18.63 u
-11.0 19.43 y
-10.0 19.27 z
-4.0 18.68 g
-8.0 19.07 i
-7.0 18.86 r
-2.0 18.62 u
-10.0 19.42 y
-9.0 19.26 z
-3.0 18.67 g
-7.0 19.05 i
-6.0 18.85 r
-1.0 18.62 u
-9.0 19.4 y
-8.0 19.24 z
-2.0 18.66 g
-6.0 19.04 i
-5.0 18.84 r
0.0 18.62 u
-8.0 19.39 y
-7.0 19.23 z
-1.0 18.66 g
-5.0 19.03 i
-4.0 18.83 r
1.0 18.62 u
-7.0 19.37 y
-6.0 19.22 z
0.0 18.66 g
-4.0 19.02 i
-3.0 18.83 r
2.0 18.62 u
-6.0 19.36 y
-5.0 19.21 z
1.0 18.66 g
-3.0 19.02 i
-2.0 18.82 r
3.0 18.63 u
-5.0 19.35 y
