#time magnitude filter
-21.0 19.81 g
-23.0 20.33 i
-22.0 20.07 r
-19.0 19.64 u
-24.0 20.72 y
-23.0 20.54 z
-20.0 19.76 g
-22.0 20.28 i
-21.0 20.03 r
-18.0 19.6 u
-23.0 20.67 y
-22.0 20.5 z
-19.0 19.72 g
-21.0 20.24 i
-20.0 19.99 r
-17.0 19.57 u
-22.0 20.63 y
-21.0 20.45 z
-18.0 19.69 g
-20.0 20.2 i
-19.0 19.95 r
-16.0 19.53 u
-21.0 20.59 y
-20.0 20.41 z
-17.0 19.65 g
-19.0 20.16 i
-18.0 19.91 r
-15.0 19.5 u
-20.0 20.55 y
-19.0 20.37 z
-16.0 19.62 g
-18.0 20.13 i
-17.0 19.88 r
-14.0 19.47 u
-19.0 20.51 y
-18.0 20.34 z
-15.0 19.59 g
-17.0 20.1 i
-16.0 19.85 r
-13.0 19.45 u
-18.0 20.48 y
-17.0 20.31 z
-14.0 19.57 g
-16.0 20.06 i
-15.0 19.82 r
-12.0 19.42 u
-17.0 20.45 y
-16.0 20.27 z
-13.0 19.54 g
-15.0 20.04 i
-14.0 19.79 r
-11.0 19.4 u
-16.0 20.42 y
-15.0 20.25 z
-12.0 19.52 g
-14.0 20.01 i
-13.0 19.77 r
-10.0 19.38 u
-15.0 20.39 y
-14.0 20.22 z
-11.0 19.5 g
-13.0 19.99 i
-12.0 19.75 r
-9.0 19.37 u
-14.0 20.37 y
-13.0 20.19 z
-10.0 19.48 g
-12.0 19.96 i
-11.0 19.72 r
-8.0 19.35 u
-13.0 20.34 y
-12.0 20.17 z
-9.0 19.46 g
-11.0 19.94 i
-10.0 19.71 r
-7.0 19.34 u
-12.0 20.32 y
-11.0 20.15 z
-8.0 19.45 g
-10.0 19.93 i
-9.0 19.69 r
-6.0 19.32 u
-11.0 20.3 y
-10.0 20.13 z
-7.0 19.44 g
-9.0 19.91 i
-8.0 19.67 r
-5.0 19.31 u
-10.0 20.29 y
-9.0 20.12 z
-6.0 19.43 g
-8.0 19.9 i
-7.0 19.66 r
-4.0 19.31 u
-9.0 20.27 y
-8.0 20.1 z
-5.0 19.42 g
-7.0 19.88 i
-6.0 19.65 r
-3.0 19.3 u
-8.0 20.26 y
-7.0 20.09 z
-4.0 19.41 g
-6.0 19.87 i
-5.0 19.64 r
-2.0 19.3 u
-7.0 20.25 y
-6.0 20.08 z
-3.0 19.4 g
-5.0 19.86 i
-4.0 19.63 r
-1.0 19.29 u
-6.0 20.24 y
-5.0 20.07 z
-2.0 19.4 g
-4.0 19.86 i
-3.0 19.63 r
0.0 19.29 u
