#time magnitude filter
-24.0 20.24 g
-24.0 20.89 i
-24.0 20.59 r
-23.0 19.92 u
-24.0 21.3 y
-24.0 21.12 z
-23.0 19.87 g
-23.0 20.51 i
-23.0 20.21 r
-22.0 19.57 u
-23.0 20.92 y
-23.0 20.74 z
-22.0 19.58 g
-22.0 20.21 i
-22.0 19.92 r
-21.0 19.29 u
-22.0 20.61 y
-22.0 20.43 z
-21.0 19.35 g
-21.0 19.96 i
-21.0 19.68 r
-20.0 19.07 u
-21.0 20.36 y
-21.0 20.18 z
-20.0 19.16 g
-20.0 19.76 i
-20.0 19.48 r
-19.0 18.89 u
-20.0 20.16 y
-20.0 19.98 z
-19.0 19.0 g
-19.0 19.59 i
-19.0 19.31 r
-18.0 18.73 u
-19.0 19.99 y
-19.0 19.81 z
-18.0 18.86 g
-18.0 19.45 i
-18.0 19.17 r
-17.0 18.61 u
-18.0 19.84 y
-18.0 19.67 z
-17.0 18.75 g
-17.0 19.33 i
-17.0 19.05 r
-16.0 18.49 u
-17.0 19.72 y
-17.0 19.54 z
-16.0 18.65 g
-16.0 19.22 i
-16.0 18.95 r
-15.0 18.4 u
-16.0 19.61 y
-16.0 19.44 z
-15.0 18.56 g
-15.0 19.13 i
-15.0 18.86 r
-14.0 18.32 u
-15.0 19.51 y
-15.0 19.34 z
-14.0 18.49 g
-14.0 19.05 i
-14.0 18.78 r
-13.0 18.25 u
-14.0 19.43 y
-14.0 19.26 z
-13.0 18.42 g
-13.0 18.98 i
-13.0 18.71 r
-12.0 18.18 u
-13.0 19.36 y
-13.0 19.19 z
-12.0 18.36 g
-12.0 18.92 i
-12.0 18.65 r
-11.0 18.13 u
-12.0 19.3 y
-12.0 19.13 z
-11.0 18.31 g
-11.0 18.86 i
-11.0 18.6 r
-10.0 18.08 u
-11.0 19.24 y
-11.0 19.07 z
-10.0 18.27 g
-10.0 18.81 i
-10.0 18.55 r
-9.0 18.04 u
-10.0 19.19 y
-10.0 19.02 z
-9.0 18.23 g
-9.0 18.77 i
-9.0 18.51 r
-8.0 18.0 u
-9.0 19.15 y
-9.0 18.98 z
-8.0 18.19 g
-8.0 18.73 i
-8.0 18.47 r
-7.0 17.97 u
-8.0 19.11 y
-8.0 18.94 z
-7.0 18.16 g
-7.0 18.7 i
-7.0 18.44 r
-6.0 17.95 u
-7.0 19.08 y
-7.0 18.91 z
-6.0 18.14 g
-6.0 18.68 i
-6.0 18.42 r
-5.0 17.92 u
-6.0 19.05 y
-6.0 18.88 z
-5.0 18.12 g
-5.0 18.65 i
-5.0 18.4 r
-4.0 17.91 u
-5.0 19.03 y
-5.0 18.86 z
-4.0 18.11 g
-4.0 18.64 i
-4.0 18.38 r
-3.0 17.89 u
-4.0 19.01 y
-4.0 18.84 z
-3.0 18.1 g
-3.0 18.62 i
-3.0 18.37 r
-2.0 17.89 u
-3.0 18.99 y
-3.0 18.83 z
-2.0 18.09 g
-2.0 18.61 i
-2.0 18.36 r
-1.0 17.88 u
-2.0 18.98 y
-2.0 18.82 z
-1.0 18.08 g
-1.0 18.61 i
-1.0 18.35 r
0.0 17.88 u
-1.0 18.98 y
-1.0 18.81 z
0.0 18.08 g
0.0 18.61 i
0.0 18.35 r
1.0 17.88 u
0.0 18.97 y
0.0 18.81 z
1.0 18.08 g
1.0 18.61 i
1.0 18.35 r
2.0 17.88 u
1.0 18.97 y
1.0 18.81 z
2.0 18.09 g
2.0 18.61 i
2.0 18.36 r
3.0 17.89 u
2.0 18.98 y
2.0 18.81 z
3.0 18.1 g
3.0 18.62 i
3.0 18.36 r
4.0 17.89 u
3.0 18.98 y
3.0 18.82 z
4.0 18.11 g
4.0 18.63 i
4.0 18.37 r
5.0 17.9 u
4.0 18.99 y
4.0 18.83 z
5.0 18.12 g
5.0 18.64 i
5.0 18.38 r
6.0 17.92 u
5.0 19.0 y
5.0 18.84 z
6.0 18.13 g
6.0 18.65 i
6.0 18.4 r
7.0 17.93 u
6.0 19.02 y
6.0 18.85 z
7.0 18.15 g
7.0 18.67 i
7.0 18.41 r
8.0 17.94 u
7.0 19.03 y
7.0 18.87 z
8.0 18.16 g
8.0 18.68 i
8.0 18.43 r
9.0 17.96 u
8.0 19.05 y
8.0 18.88 z
9.0 18.18 g
9.0 18.7 i
9.0 18.45 r
10.0 17.98 u
9.0 19.07 y
9.0 18.9 z
10.0 18.2 g
10.0 18.72 i
10.0 18.47 r
11.0 18.0 u
10.0 19.09 y
10.0 18.92 z
11.0 18.22 g
11.0 18.74 i
11.0 18.49 r
12.0 18.02 u
11.0 19.11 y
11.0 18.94 z
12.0 18.24 g
12.0 18.76 i
12.0 18.51 r
13.0 18.04 u
12.0 19.13 y
12.0 18.97 z
13.0 18.26 g
13.0 18.79 i
13.0 18.53 r
14.0 18.06 u
13.0 19.15 y
13.0 18.99 z
14.0 18.29 g
14.0 18.81 i
14.0 18.56 r
15.0 18.08 u
14.0 19.18 y
14.0 19.01 z
15.0 18.31 g
15.0 18.83 i
15.0 18.58 r
16.0 18.1 u
15.0 19.2 y
15.0 19.04 z
16.0 18.33 g
16.0 18.86 i
16.0 18.61 r
17.0 18.13 u
16.0 19.23 y
16.0 19.06 z
17.0 18.36 g
17.0 18.89 i
17.0 18.63 r
18.0 18.15 u
17.0 19.25 y
17.0 19.09 z
18.0 18.38 g
18.0 18.91 i
18.0 18.66 r
19.0 18.17 u
18.0 19.28 y
18.0 19.12 z
19.0 18.41 g
19.0 18.94 i
19.0 18.68 r
20.0 18.2 u
19.0 19.31 y
19.0 19.14 z
20.0 18.44 g
20.0 18.97 i
20.0 18.71 r
21.0 18.22 u
20.0 19.34 y
20.0 19.17 z
21.0 18.46 g
21.0 18.99 i
21.0 18.74 r
22.0 18.25 u
21.0 19.37 y
21.0 19.2 z
22.0 18.49 g
22.0 19.02 i
22.0 18.76 r
23.0 18.27 u
22.0 19.39 y
22.0 19.23 z
23.0 18.51 g
23.0 19.05 i
23.0 18.79 r
24.0 18.3 u
23.0 19.42 y
23.0 19.26 z
24.0 18.54 g
24.0 19.08 i
24.0 18.82 r
25.0 18.32 u
24.0 19.45 y
24.0 19.29 z
25.0 18.57 g
25.0 19.11 i
25.0 18.85 r
26.0 18.35 u
25.0 19.48 y
25.0 19.32 z
26.0 18.6 g
26.0 19.14 i
26.0 18.88 r
27.0 18.38 u
26.0 19.51 y
26.0 19.34 z
27.0 18.63 g
27.0 19.17 i
27.0 18.91 r
28.0 18.4 u
27.0 19.54 y
27.0 19.38 z
28.0 18.65 g
28.0 19.2 i
28.0 18.94 r
29.0 18.43 u
28.0 19.57 y
28.0 19.41 z
29.0 18.68 g
29.0 19.23 i
29.0 18.97 r
30.0 18.46 u
29.0 19.6 y
29.0 19.44 z
30.0 18.71 g
30.0 19.26 i
30.0 19.0 r
31.0 18.48 u
30.0 19.64 y
30.0 19.47 z
31.0 18.74 g
