#time magnitude filter
-12.0 19.96 g
-29.0 20.6 i
-19.0 20.3 r
-10.0 19.69 u
-41.0 21.03 y
-36.0 20.84 z
-11.0 19.78 g
-28.0 20.42 i
-18.0 20.12 r
-9.0 19.52 u
-40.0 20.85 y
-35.0 20.65 z
-10.0 19.64 g
-27.0 20.26 i
-17.0 19.97 r
-8.0 19.38 u
-39.0 20.69 y
-34.0 20.5 z
-9.0 19.52 g
-26.0 20.14 i
-16.0 19.85 r
-7.0 19.27 u
-38.0 20.56 y
-33.0 20.37 z
-8.0 19.42 g
-25.0 20.03 i
-15.0 19.74 r
-6.0 19.18 u
-37.0 20.45 y
-32.0 20.26 z
-7.0 19.33 g
-24.0 19.93 i
-14.0 19.65 r
-5.0 19.1 u
-36.0 20.35 y
-31.0 20.17 z
-6.0 19.27 g
-23.0 19.86 i
-13.0 19.58 r
-4.0 19.05 u
-35.0 20.27 y
-30.0 20.09 z
-5.0 19.22 g
-22.0 19.79 i
-12.0 19.52 r
-3.0 19.01 u
-34.0 20.2 y
-29.0 20.02 z
-4.0 19.18 g
-21.0 19.74 i
-11.0 19.47 r
-2.0 18.98 u
-33.0 20.14 y
-28.0 19.96 z
-3.0 19.15 g
-20.0 19.69 i
-10.0 19.43 r
-1.0 18.96 u
-32.0 20.1 y
-27.0 19.91 z
-2.0 19.13 g
-19.0 19.66 i
-9.0 19.4 r
0.0 18.96 u
-31.0 20.06 y
-26.0 19.88 z
-1.0 19.12 g
-18.0 19.63 i
-8.0 19.38 r
1.0 18.96 u
-30.0 20.02 y
-25.0 19.85 z
0.0 19.12 g
-17.0 19.61 i
-7.0 19.37 r
2.0 18.98 u
-29.0 19.99 y
-24.0 19.82 z
1.0 19.12 g
-16.0 19.59 i
-6.0 19.36 r
3.0 18.99 u
-28.0 19.97 y
-23.0 19.8 z
2.0 19.12 g
-15.0 19.58 i
-5.0 19.35 r
4.0 19.01 u
-27.0 19.95 y
-22.0 19.78 z
3.0 19.13 g
