#time magnitude filter
-8.0 18.87 g
-14.0 19.37 i
-11.0 19.13 r
-4.0 18.73 u
-17.0 19.76 y
-16.0 19.59 z
-7.0 18.86 g
-13.0 19.35 i
-10.0 19.11 r
-3.0 18.71 u
-16.0 19.73 y
-15.0 19.56 z
-6.0 18.84 g
-12.0 19.33 i
-9.0 19.09 r
-2.0 18.71 u
-15.0 19.71 y
-14.0 19.54 z
-5.0 18.83 g
-11.0 19.31 i
-8.0 19.07 r
-1.0 18.7 u
-14.0 19.69 y
-13.0 19.51 z
-4.0 18.82 g
-10.0 19.29 i
-7.0 19.06 r
0.0 18.7 u
-13.0 19.67 y
-12.0 19.5 z
-3.0 18.81 g
-9.0 19.28 i
-6.0 19.04 r
1.0 18.7 u
-12.0 19.65 y
-11.0 19.48 z
-2.0 18.81 g
-8.0 19.26 i
-5.0 19.03 r
2.0 18.7 u
-11.0 19.63 y
-10.0 19.46 z
-1.0 18.81 g
-7.0 19.25 i
-4.0 19.03 r
3.0 18.71 u
-10.0 19.62 y
-9.0 19.45 z
0.0 18.81 g
-6.0 19.24 i
-3.0 19.02 r
4.0 18.71 u
-9.0 19.61 y
-8.0 19.44 z
1.0 18.81 g
-5.0 19.24 i
-2.0 19.01 r
5.0 18.72 u
-8.0 19.59 y
-7.0 19.43 z
2.0 18.81 g
-4.0 19.23 i
-1.0 19.01 r
6.0 18.73 u
-7.0 19.59 y
-6.0 19.42 z
3.0 18.81 g
-3.0 19.22 i
0.0 19.01 r
7.0 18.75 u
-6.0 19.58 y
-5.0 19.42 z
4.0 18.82 g
-2.0 19.22 i
1.0 19.01 r
8.0 18.76 u
-5.0 19.57 y
-4.0 19.41 z
5.0 18.83 g
-1.0 19.22 i
2.0 19.01 r
9.0 18.77 u
-4.0 19.57 y
-3.0 19.41 z
6.0 18.84 g
0.0 19.22 i
3.0 19.01 r
10.0 18.79 u
-3.0 19.56 y
-2.0 19.4 z
7.0 18.85 g
1.0 19.22 i
4.0 19.02 r
11.0 18.81 u
-2.0 19.56 y
-1.0 19.4 z
8.0 18.86 g
2.0 19.22 i
5.0 19.02 r
12.0 18.83 u
-1.0 19.56 y
0.0 19.4 z
9.0 18.87 g
3.0 19.22 i
6.0 19.03 r
13.0 18.85 u
0.0 19.56 y
1.0 19.4 z
10.0 18.88 g
4.0 19.23 i
7.0 19.04 r
14.0 18.87 u
1.0 19.56 y
2.0 19.41 z
11.0 18.89 g
5.0 19.23 i
8.0 19.04 r
15.0 18.89 u
2.0 19.56 y
3.0 19.41 z
12.0 18.91 g
6.0 19.24 i
9.0 19.05 r
16.0 18.91 u
3.0 19.56 y
4.0 19.41 z
13.0 18.92 g
7.0 19.24 i
10.0 19.06 r
17.0 18.93 u
4.0 19.57 y
5.0 19.42 z
14.0 18.94 g
8.0 19.25 i
11.0 19.07 r
18.0 18.95 u
5.0 19.57 y
6.0 19.42 z
15.0 18.95 g
9.0 19.26 i
12.0 19.08 r
19.0 18.98 u
6.0 19.58 y
7.0 19.43 z
16.0 18.97 g
10.0 19.27 i
13.0 19.09 r
20.0 19.0 u
7.0 19.58 y
8.0 19.44 z
17.0 18.99 g
11.0 19.28 i
14.0 19.11 r
21.0 19.02 u
8.0 19.59 y
9.0 19.44 z
18.0 19.01 g
12.0 19.29 i
15.0 19.12 r
22.0 19.05 u
9.0 19.6 y
10.0 19.45 z
19.0 19.02 g
13.0 19.3 i
16.0 19.13 r
23.0 19.07 u
10.0 19.61 y
11.0 19.46 z
20.0 19.04 g
14.0 19.31 i
17.0 19.15 r
24.0 19.09 u
11.0 19.62 y
12.0 19.47 z
21.0 19.06 g
15.0 19.32 i
18.0 19.16 r
25.0 19.12 u
12.0 19.63 y
13.0 19.49 z
22.0 19.08 g
16.0 19.34 i
19.0 19.18 r
26.0 19.14 u
13.0 19.64 y
14.0 19.5 z
23.0 19.1 g
17.0 19.35 i
20.0 19.2 r
27.0 19.17 u
14.0 19.65 y
15.0 19.51 z
24.0 19.12 g
18.0 19.37 i
21.0 19.21 r
28.0 19.19 u
15.0 19.66 y
16.0 19.52 z
25.0 19.14 g
19.0 19.38 i
22.0 19.23 r
29.0 19.22 u
16.0 19.68 y
17.0 19.54 z
26.0 19.16 g
20.0 19.4 i
23.0 19.25 r
30.0 19.24 u
17.0 19.69 y
18.0 19.55 z
27.0 19.18 g
21.0 19.41 i
24.0 19.26 r
31.0 19.27 u
18.0 19.71 y
19.0 19.57 z
28.0 19.2 g
22.0 19.43 i
25.0 19.28 r
32.0 19.29 u
19.0 19.72 y
20.0 19.58 z
29.0 19.22 g
23.0 19.45 i
26.0 19.3 r
33.0 19.32 u
20.0 19.74 y
21.0 19.6 z
30.0 19.25 g
24.0 19.47 i
27.0 19.32 r
34.0 19.34 u
21.0 19.75 y
22.0 19.62 z
31.0 19.27 g
25.0 19.48 i
28.0 19.34 r
35.0 19.36 u
22.0 19.77 y
23.0 19.64 z
32.0 19.29 g
26.0 19.5 i
29.0 19.36 r
36.0 19.39 u
23.0 19.79 y
24.0 19.65 z
33.0 19.31 g
27.0 19.52 i
30.0 19.38 r
37.0 19.41 u
24.0 19.81 y
25.0 19.67 z
34.0 19.33 g
28.0 19.54 i
31.0 19.4 r
38.0 19.43 u
25.0 19.83 y
26.0 19.69 z
35.0 19.35 g
29.0 19.56 i
32.0 19.42 r
39.0 19.46 u
26.0 19.85 y
27.0 19.71 z
36.0 19.38 g
30.0 19.58 i
33.0 19.44 r
40.0 19.48 u
27.0 19.87 y
28.0 19.73 z
37.0 19.4 g
31.0 19.61 i
34.0 19.46 r
41.0 19.5 u
28.0 19.89 y
29.0 19.75 z
38.0 19.42 g
32.0 19.63 i
35.0 19.49 r
42.0 19.53 u
29.0 19.91 y
30.0 19.78 z
39.0 19.44 g
33.0 19.65 i
36.0 19.51 r
43.0 19.55 u
30.0 19.93 y
31.0 19.8 z
40.0 19.46 g
34.0 19.67 i
37.0 19.53 r
44.0 19.57 u
31.0 19.96 y
32.0 19.82 z
41.0 19.49 g
35.0 19.7 i
38.0 19.55 r
45.0 19.59 u
32.0 19.98 y
33.0 19.85 z
42.0 19.51 g
36.0 19.72 i
39.0 19.58 r
46.0 19.61 u
33.0 20.0 y
34.0 19.87 z
43.0 19.53 g
37.0 19.74 i
40.0 19.6 r
47.0 19.64 u
34.0 20.03 y
35.0 19.89 z
44.0 19.56 g
38.0 19.77 i
41.0 19.63 r
48.0 19.66 u
35.0 20.06 y
36.0 19.92 z
45.0 19.58 g
39.0 19.8 i
42.0 19.65 r
49.0 19.68 u
36.0 20.08 y
37.0 19.95 z
46.0 19.6 g
40.0 19.82 i
43.0 19.68 r
50.0 19.7 u
37.0 20.11 y
38.0 19.97 z
47.0 19.63 g
41.0 19.85 i
44.0 19.7 r
51.0 19.72 u
38.0 20.13 y
39.0 20.0 z
48.0 19.65 g
42.0 19.87 i
45.0 19.73 r
52.0 19.74 u
39.0 20.16 y
40.0 20.03 z
49.0 19.68 g
43.0 19.9 i
46.0 19.75 r
53.0 19.77 u
40.0 20.19 y
41.0 20.05 z
50.0 19.7 g
44.0 19.93 i
47.0 19.78 r
54.0 19.79 u
41.0 20.22 y
42.0 20.08 z
51.0 19.72 g
45.0 19.96 i
48.0 19.81 r
55.0 19.81 u
42.0 20.25 y
43.0 20.11 z
52.0 19.75 g
46.0 19.99 i
49.0 19.83 r
56.0 19.83 u
43.0 20.28 y
44.0 20.14 z
53.0 19.77 g
47.0 20.01 i
50.0 19.86 r
57.0 19.85 u
44.0 20.31 y
45.0 20.17 z
54.0 19.8 g
48.0 20.04 i
51.0 19.89 r
58.0 19.87 u
45.0 20.34 y
46.0 20.2 z
55.0 19.82 g
49.0 20.07 i
52.0 19.92 r
59.0 19.89 u
46.0 20.37 y
47.0 20.23 z
56.0 19.85 g
50.0 20.1 i
53.0 19.95 r
60.0 19.91 u
47.0 20.4 y
48.0 20.26 z
57.0 19.88 g
51.0 20.14 i
54.0 19.98 r
61.0 19.94 u
48.0 20.44 y
49.0 20.29 z
58.0 19.9 g
52.0 20.17 i
55.0 20.0 r
62.0 19.96 u
49.0 20.47 y
50.0 20.33 z
59.0 19.93 g
53.0 20.2 i
56.0 20.03 r
63.0 19.98 u
50.0 20.5 y
51.0 20.36 z
60.0 19.95 g
54.0 20.23 i
57.0 20.06 r
64.0 20.0 u
51.0 20.54 y
52.0 20.39 z
61.0 19.98 g
55.0 20.26 i
58.0 20.09 r
65.0 20.02 u
52.0 20.57 y
53.0 20.43 z
62.0 20.01 g
56.0 20.3 i
59.0 20.13 r
66.0 20.05 u
53.0 20.61 y
54.0 20.46 z
63.0 20.04 g
57.0 20.33 i
60.0 20.16 r
67.0 20.07 u
54.0 20.64 y
55.0 20.5 z
64.0 20.06 g
58.0 20.36 i
61.0 20.19 r
68.0 20.09 u
55.0 20.68 y
56.0 20.53 z
65.0 20.09 g
59.0 20.4 i
62.0 20.22 r
69.0 20.11 u
56.0 20.71 y
57.0 20.57 z
66.0 20.12 g
60.0 20.43 i
63.0 20.25 r
70.0 20.14 u
57.0 20.75 y
58.0 20.6 z
67.0 20.15 g
61.0 20.47 i
64.0 20.28 r
71.0 20.16 u
58.0 20.79 y
59.0 20.64 z
68.0 20.18 g
62.0 20.5 i
65.0 20.32 r
72.0 20.18 u
59.0 20.83 y
60.0 20.67 z
69.0 20.21 g
63.0 20.54 i
66.0 20.35 r
73.0 20.2 u
60.0 20.86 y
61.0 20.71 z
70.0 20.23 g
64.0 20.57 i
67.0 20.38 r
74.0 20.23 u
61.0 20.9 y
62.0 20.75 z
71.0 20.26 g
65.0 20.61 i
68.0 20.42 r
75.0 20.25 u
62.0 20.94 y
63.0 20.79 z
72.0 20.29 g
66.0 20.64 i
69.0 20.45 r
76.0 20.28 u
63.0 20.98 y
64.0 20.82 z
73.0 20.32 g
67.0 20.68 i
70.0 20.48 r
77.0 20.3 u
64.0 21.02 y
65.0 20.86 z
74.0 20.35 g
68.0 20.72 i
71.0 20.52 r
78.0 20.32 u
65.0 21.05 y
66.0 20.9 z
75.0 20.38 g
69.0 20.75 i
72.0 20.55 r
79.0 20.35 u
66.0 21.09 y
67.0 20.94 z
76.0 20.41 g
70.0 20.79 i
73.0 20.59 r
80.0 20.37 u
67.0 21.13 y
68.0 20.97 z
77.0 20.44 g
71.0 20.83 i
74.0 20.62 r
81.0 20.4 u
68.0 21.17 y
69.0 21.01 z
78.0 20.47 g
72.0 20.86 i
75.0 20.66 r
82.0 20.42 u
69.0 21.21 y
70.0 21.05 z
79.0 20.5 g
73.0 20.9 i
76.0 20.69 r
83.0 20.45 u
70.0 21.25 y
71.0 21.09 z
80.0 20.53 g
74.0 20.94 i
77.0 20.73 r
84.0 20.47 u
71.0 21.29 y
72.0 21.13 z
81.0 20.56 g
75.0 20.97 i
78.0 20.76 r
85.0 20.5 u
72.0 21.33 y
73.0 21.17 z
82.0 20.6 g
76.0 21.01 i
79.0 20.8 r
86.0 20.52 u
73.0 21.37 y
74.0 21.2 z
83.0 20.63 g
77.0 21.05 i
