#time magnitude filter
-26.0 21.08 g
-26.0 21.72 i
-26.0 21.43 r
-25.0 20.78 u
-26.0 22.13 y
-26.0 21.95 z
-25.0 20.82 g
-25.0 21.45 i
-25.0 21.17 r
-24.0 20.53 u
-25.0 21.86 y
-25.0 21.68 z
-24.0 20.62 g
-24.0 21.24 i
-24.0 20.96 r
-23.0 20.34 u
-24.0 21.64 y
-24.0 21.47 z
-23.0 20.46 g
-23.0 21.07 i
-23.0 20.79 r
-22.0 20.18 u
-23.0 21.47 y
-23.0 21.29 z
-22.0 20.32 g
-22.0 20.92 i
-22.0 20.64 r
-21.0 20.05 u
-22.0 21.32 y
-22.0 21.15 z
-21.0 20.2 g
-21.0 20.8 i
-21.0 20.52 r
-20.0 19.93 u
-21.0 21.19 y
-21.0 21.02 z
-20.0 20.1 g
-20.0 20.69 i
-20.0 20.42 r
-19.0 19.84 u
-20.0 21.08 y
-20.0 20.91 z
-19.0 20.02 g
-19.0 20.6 i
-19.0 20.33 r
-18.0 19.76 u
-19.0 20.99 y
-19.0 20.82 z
-18.0 19.94 g
-18.0 20.52 i
-18.0 20.25 r
-17.0 19.68 u
-18.0 20.91 y
-18.0 20.74 z
-17.0 19.87 g
-17.0 20.44 i
-17.0 20.18 r
-16.0 19.62 u
-17.0 20.83 y
-17.0 20.66 z
-16.0 19.81 g
-16.0 20.38 i
-16.0 20.11 r
-15.0 19.56 u
-16.0 20.77 y
-16.0 20.6 z
-15.0 19.76 g
-15.0 20.32 i
-15.0 20.06 r
-14.0 19.51 u
-15.0 20.71 y
-15.0 20.54 z
-14.0 19.71 g
-14.0 20.27 i
-14.0 20.01 r
-13.0 19.46 u
-14.0 20.65 y
-14.0 20.48 z
-13.0 19.66 g
-13.0 20.22 i
-13.0 19.96 r
-12.0 19.42 u
-13.0 20.6 y
-13.0 20.44 z
-12.0 19.62 g
-12.0 20.18 i
-12.0 19.92 r
-11.0 19.39 u
-12.0 20.56 y
-12.0 20.39 z
-11.0 19.59 g
-11.0 20.14 i
-11.0 19.88 r
-10.0 19.36 u
-11.0 20.52 y
-11.0 20.36 z
-10.0 19.56 g
-10.0 20.11 i
-10.0 19.85 r
-9.0 19.33 u
-10.0 20.49 y
-10.0 20.32 z
-9.0 19.53 g
-9.0 20.08 i
-9.0 19.82 r
-8.0 19.3 u
-9.0 20.46 y
-9.0 20.29 z
-8.0 19.51 g
-8.0 20.05 i
-8.0 19.8 r
-7.0 19.28 u
-8.0 20.43 y
-8.0 20.26 z
-7.0 19.49 g
-7.0 20.03 i
-7.0 19.77 r
-6.0 19.26 u
-7.0 20.41 y
-7.0 20.24 z
-6.0 19.47 g
-6.0 20.01 i
-6.0 19.76 r
-5.0 19.25 u
-6.0 20.39 y
-6.0 20.22 z
-5.0 19.46 g
-5.0 19.99 i
-5.0 19.74 r
-4.0 19.23 u
-5.0 20.37 y
-5.0 20.21 z
-4.0 19.45 g
-4.0 19.98 i
-4.0 19.73 r
-3.0 19.22 u
-4.0 20.36 y
-4.0 20.19 z
-3.0 19.44 g
-3.0 19.97 i
-3.0 19.72 r
-2.0 19.22 u
-3.0 20.35 y
-3.0 20.18 z
-2.0 19.43 g
-2.0 19.96 i
-2.0 19.71 r
-1.0 19.21 u
-2.0 20.34 y
-2.0 20.18 z
-1.0 19.43 g
-1.0 19.96 i
-1.0 19.71 r
0.0 19.21 u
-1.0 20.33 y
-1.0 20.17 z
0.0 19.43 g
0.0 19.96 i
0.0 19.71 r
1.0 19.21 u
0.0 20.33 y
0.0 20.17 z
1.0 19.43 g
1.0 19.96 i
1.0 19.71 r
2.0 19.21 u
1.0 20.33 y
1.0 20.17 z
2.0 19.44 g
2.0 19.97 i
2.0 19.72 r
3.0 19.22 u
