#time magnitude filter
-28.0 21.24 g
-30.0 21.92 i
-29.0 21.61 r
-26.0 20.94 u
-30.0 22.37 y
-30.0 22.17 z
-27.0 20.92 g
-29.0 21.56 i
-28.0 21.27 r
-25.0 20.64 u
-29.0 22.0 y
-29.0 21.81 z
-26.0 20.66 g
-28.0 21.28 i
-27.0 20.99 r
-24.0 20.41 u
-28.0 21.7 y
-28.0 21.51 z
-25.0 20.45 g
-27.0 21.05 i
-26.0 20.77 r
-23.0 20.22 u
-27.0 21.47 y
-27.0 21.28 z
-24.0 20.28 g
-26.0 20.86 i
-25.0 20.59 r
-22.0 20.07 u
-26.0 21.27 y
-26.0 21.09 z
-23.0 20.14 g
-25.0 20.71 i
-24.0 20.44 r
-21.0 19.94 u
-25.0 21.11 y
-25.0 20.93 z
-22.0 20.03 g
-24.0 20.58 i
-23.0 20.32 r
-20.0 19.83 u
-24.0 20.98 y
-24.0 20.8 z
-21.0 19.93 g
-23.0 20.47 i
-22.0 20.21 r
-19.0 19.74 u
-23.0 20.87 y
-23.0 20.69 z
-20.0 19.84 g
-22.0 20.38 i
-21.0 20.12 r
-18.0 19.66 u
-22.0 20.77 y
-22.0 20.59 z
-19.0 19.77 g
-21.0 20.3 i
-20.0 20.04 r
-17.0 19.6 u
-21.0 20.69 y
-21.0 20.51 z
-18.0 19.7 g
-20.0 20.22 i
-19.0 19.97 r
-16.0 19.54 u
-20.0 20.61 y
-20.0 20.44 z
-17.0 19.64 g
-19.0 20.16 i
-18.0 19.91 r
-15.0 19.48 u
-19.0 20.55 y
-19.0 20.37 z
-16.0 19.59 g
-18.0 20.1 i
-17.0 19.85 r
-14.0 19.44 u
-18.0 20.49 y
-18.0 20.32 z
-15.0 19.55 g
-17.0 20.05 i
-16.0 19.8 r
-13.0 19.4 u
-17.0 20.44 y
-17.0 20.26 z
-14.0 19.51 g
-16.0 20.01 i
-15.0 19.76 r
-12.0 19.36 u
-16.0 20.39 y
-16.0 20.22 z
-13.0 19.47 g
-15.0 19.97 i
-14.0 19.72 r
-11.0 19.33 u
-15.0 20.35 y
-15.0 20.17 z
-12.0 19.44 g
-14.0 19.93 i
-13.0 19.69 r
-10.0 19.3 u
-14.0 20.31 y
-14.0 20.14 z
-11.0 19.41 g
-13.0 19.9 i
-12.0 19.65 r
-9.0 19.27 u
-13.0 20.27 y
-13.0 20.1 z
-10.0 19.38 g
-12.0 19.87 i
-11.0 19.63 r
-8.0 19.25 u
-12.0 20.24 y
-12.0 20.07 z
-9.0 19.36 g
-11.0 19.84 i
-10.0 19.6 r
-7.0 19.24 u
-11.0 20.21 y
-11.0 20.04 z
-8.0 19.34 g
-10.0 19.81 i
-9.0 19.58 r
-6.0 19.22 u
-10.0 20.19 y
-10.0 20.02 z
-7.0 19.33 g
-9.0 19.79 i
-8.0 19.56 r
-5.0 19.21 u
-9.0 20.17 y
-9.0 20.0 z
-6.0 19.31 g
-8.0 19.77 i
-7.0 19.54 r
-4.0 19.2 u
-8.0 20.15 y
-8.0 19.98 z
-5.0 19.3 g
-7.0 19.76 i
-6.0 19.53 r
-3.0 19.19 u
-7.0 20.13 y
-7.0 19.96 z
-4.0 19.29 g
-6.0 19.74 i
-5.0 19.52 r
-2.0 19.18 u
-6.0 20.11 y
-6.0 19.94 z
-3.0 19.28 g
-5.0 19.73 i
-4.0 19.51 r
-1.0 19.18 u
-5.0 20.1 y
-5.0 19.93 z
-2.0 19.28 g
-4.0 19.72 i
-3.0 19.5 r
0.0 19.18 u
-4.0 20.09 y
-4.0 19.92 z
-1.0 19.28 g
-3.0 19.72 i
-2.0 19.49 r
1.0 19.18 u
-3.0 20.08 y
-3.0 19.91 z
0.0 19.28 g
-2.0 19.71 i
-1.0 19.49 r
2.0 19.18 u
-2.0 20.07 y
-2.0 19.91 z
1.0 19.28 g
-1.0 19.71 i
0.0 19.49 r
3.0 19.19 u
-1.0 20.07 y
-1.0 19.9 z
2.0 19.28 g
0.0 19.71 i
1.0 19.49 r
