#time magnitude filter
-21.0 18.39 g
-22.0 18.75 i
-22.0 18.55 r
-21.0 18.3 u
-22.0 19.05 y
-22.0 18.91 z
-20.0 18.04 g
-21.0 18.41 i
-21.0 18.21 r
-20.0 17.95 u
-21.0 18.71 y
-21.0 18.56 z
-19.0 17.75 g
-20.0 18.12 i
-20.0 17.92 r
-19.0 17.66 u
-20.0 18.42 y
-20.0 18.28 z
-18.0 17.51 g
-19.0 17.87 i
-19.0 17.67 r
-18.0 17.41 u
-19.0 18.17 y
-19.0 18.03 z
-17.0 17.29 g
-18.0 17.66 i
-18.0 17.46 r
-17.0 17.2 u
-18.0 17.96 y
-18.0 17.81 z
-16.0 17.1 g
-17.0 17.47 i
-17.0 17.27 r
-16.0 17.01 u
-17.0 17.77 y
-17.0 17.63 z
-15.0 16.94 g
-16.0 17.31 i
-16.0 17.11 r
-15.0 16.85 u
-16.0 17.61 y
-16.0 17.47 z
-14.0 16.8 g
-15.0 17.16 i
-15.0 16.97 r
-14.0 16.71 u
-15.0 17.47 y
-15.0 17.32 z
-13.0 16.67 g
-14.0 17.04 i
-14.0 16.84 r
-13.0 16.58 u
-14.0 17.34 y
-14.0 17.2 z
-12.0 16.57 g
-13.0 16.93 i
-13.0 16.73 r
-12.0 16.47 u
-13.0 17.24 y
-13.0 17.09 z
-11.0 16.47 g
-12.0 16.84 i
-12.0 16.64 r
-11.0 16.38 u
-12.0 17.14 y
-12.0 16.99 z
-10.0 16.39 g
-11.0 16.75 i
-11.0 16.56 r
-10.0 16.3 u
-11.0 17.06 y
-11.0 16.91 z
-9.0 16.32 g
-10.0 16.68 i
-10.0 16.49 r
-9.0 16.23 u
-10.0 16.98 y
-10.0 16.84 z
-8.0 16.26 g
-9.0 16.62 i
-9.0 16.43 r
-8.0 16.17 u
-9.0 16.92 y
-9.0 16.78 z
-7.0 16.21 g
-8.0 16.57 i
-8.0 16.37 r
-7.0 16.13 u
-8.0 16.87 y
-8.0 16.72 z
-6.0 16.17 g
-7.0 16.52 i
-7.0 16.33 r
-6.0 16.09 u
-7.0 16.82 y
-7.0 16.68 z
-5.0 16.14 g
-6.0 16.49 i
-6.0 16.3 r
-5.0 16.06 u
-6.0 16.79 y
-6.0 16.64 z
-4.0 16.11 g
-5.0 16.46 i
-5.0 16.27 r
-4.0 16.03 u
-5.0 16.76 y
-5.0 16.61 z
