#time magnitude filter
0.0 23.08 g
0.0 23.88 i
0.0 23.53 r
0.0 22.67 u
0.0 24.37 y
0.0 24.15 z
1.0 23.09 g
1.0 23.89 i
1.0 23.54 r
1.0 22.68 u
1.0 24.38 y
1.0 24.16 z
2.0 23.1 g
2.0 23.9 i
2.0 23.55 r
2.0 22.69 u
2.0 24.39 y
2.0 24.17 z
3.0 23.1 g
3.0 23.91 i
3.0 23.56 r
3.0 22.7 u
3.0 24.4 y
3.0 24.18 z
4.0 23.11 g
4.0 23.92 i
4.0 23.57 r
4.0 22.71 u
4.0 24.41 y
4.0 24.19 z
5.0 23.12 g
5.0 23.93 i
5.0 23.58 r
5.0 22.72 u
5.0 24.42 y
5.0 24.2 z
6.0 23.13 g
6.0 23.94 i
6.0 23.58 r
6.0 22.73 u
6.0 24.42 y
6.0 24.21 z
7.0 23.14 g
7.0 23.95 i
7.0 23.59 r
7.0 22.74 u
7.0 24.43 y
7.0 24.22 z
8.0 23.15 g
8.0 23.96 i
8.0 23.6 r
8.0 22.75 u
8.0 24.44 y
8.0 24.23 z
9.0 23.16 g
9.0 23.96 i
9.0 23.61 r
9.0 22.76 u
9.0 24.45 y
9.0 24.24 z
10.0 23.17 g
10.0 23.97 i
10.0 23.62 r
10.0 22.77 u
10.0 24.46 y
10.0 24.25 z
11.0 23.18 g
11.0 23.98 i
11.0 23.63 r
11.0 22.77 u
11.0 24.47 y
11.0 24.25 z
12.0 23.19 g
12.0 23.99 i
12.0 23.64 r
12.0 22.78 u
12.0 24.48 y
12.0 24.26 z
13.0 23.19 g
13.0 24.0 i
13.0 23.65 r
13.0 22.79 u
13.0 24.49 y
13.0 24.27 z
14.0 23.2 g
14.0 24.01 i
14.0 23.65 r
14.0 22.8 u
14.0 24.5 y
14.0 24.28 z
15.0 23.21 g
15.0 24.02 i
15.0 23.66 r
15.0 22.81 u
15.0 24.5 y
15.0 24.29 z
16.0 23.22 g
16.0 24.02 i
16.0 23.67 r
16.0 22.82 u
16.0 24.51 y
16.0 24.3 z
17.0 23.23 g
17.0 24.03 i
17.0 23.68 r
17.0 22.83 u
17.0 24.52 y
17.0 24.3 z
18.0 23.24 g
18.0 24.04 i
18.0 23.69 r
18.0 22.83 u
18.0 24.53 y
18.0 24.31 z
19.0 23.24 g
19.0 24.05 i
19.0 23.7 r
19.0 22.84 u
19.0 24.54 y
19.0 24.32 z
20.0 23.25 g
20.0 24.06 i
20.0 23.7 r
20.0 22.85 u
20.0 24.54 y
20.0 24.33 z
21.0 23.26 g
21.0 24.06 i
21.0 23.71 r
21.0 22.86 u
21.0 24.55 y
21.0 24.34 z
22.0 23.27 g
22.0 24.07 i
22.0 23.72 r
22.0 22.87 u
22.0 24.56 y
22.0 24.34 z
23.0 23.28 g
23.0 24.08 i
23.0 23.73 r
23.0 22.87 u
23.0 24.57 y
23.0 24.35 z
24.0 23.28 g
24.0 24.09 i
24.0 23.74 r
24.0 22.88 u
24.0 24.58 y
24.0 24.36 z
25.0 23.29 g
25.0 24.1 i
25.0 23.74 r
25.0 22.89 u
25.0 24.58 y
25.0 24.37 z
26.0 23.3 g
26.0 24.1 i
26.0 23.75 r
26.0 22.9 u
26.0 24.59 y
26.0 24.38 z
27.0 23.31 g
27.0 24.11 i
27.0 23.76 r
27.0 22.9 u
27.0 24.6 y
27.0 24.38 z
28.0 23.31 g
28.0 24.12 i
28.0 23.77 r
28.0 22.91 u
28.0 24.61 y
28.0 24.39 z
29.0 23.32 g
29.0 24.13 i
29.0 23.77 r
29.0 22.92 u
29.0 24.61 y
29.0 24.4 z
30.0 23.33 g
30.0 24.13 i
30.0 23.78 r
30.0 22.93 u
30.0 24.62 y
30.0 24.41 z
31.0 23.34 g
31.0 24.14 i
31.0 23.79 r
31.0 22.93 u
31.0 24.63 y
31.0 24.41 z
32.0 23.34 g
32.0 24.15 i
32.0 23.8 r
32.0 22.94 u
32.0 24.64 y
32.0 24.42 z
33.0 23.35 g
33.0 24.16 i
33.0 23.8 r
33.0 22.95 u
33.0 24.64 y
33.0 24.43 z
34.0 23.36 g
34.0 24.16 i
34.0 23.81 r
34.0 22.96 u
34.0 24.65 y
34.0 24.43 z
35.0 23.36 g
35.0 24.17 i
35.0 23.82 r
35.0 22.96 u
35.0 24.66 y
35.0 24.44 z
36.0 23.37 g
36.0 24.18 i
36.0 23.82 r
36.0 22.97 u
36.0 24.66 y
36.0 24.45 z
37.0 23.38 g
37.0 24.18 i
37.0 23.83 r
37.0 22.98 u
37.0 24.67 y
37.0 24.46 z
38.0 23.39 g
38.0 24.19 i
38.0 23.84 r
38.0 22.98 u
38.0 24.68 y
38.0 24.46 z
39.0 23.39 g
39.0 24.2 i
39.0 23.84 r
39.0 22.99 u
39.0 24.68 y
39.0 24.47 z
40.0 23.4 g
40.0 24.2 i
40.0 23.85 r
40.0 23.0 u
40.0 24.69 y
40.0 24.48 z
41.0 23.41 g
41.0 24.21 i
41.0 23.86 r
41.0 23.0 u
41.0 24.7 y
41.0 24.48 z
42.0 23.41 g
42.0 24.22 i
42.0 23.87 r
42.0 23.01 u
42.0 24.71 y
42.0 24.49 z
43.0 23.42 g
43.0 24.22 i
43.0 23.87 r
43.0 23.02 u
43.0 24.71 y
43.0 24.5 z
44.0 23.43 g
44.0 24.23 i
44.0 23.88 r
44.0 23.02 u
44.0 24.72 y
44.0 24.5 z
45.0 23.43 g
45.0 24.24 i
45.0 23.89 r
45.0 23.03 u
45.0 24.73 y
45.0 24.51 z
46.0 23.44 g
46.0 24.24 i
46.0 23.89 r
46.0 23.04 u
46.0 24.73 y
46.0 24.52 z
47.0 23.45 g
47.0 24.25 i
47.0 23.9 r
47.0 23.04 u
47.0 24.74 y
47.0 24.52 z
48.0 23.45 g
48.0 24.26 i
48.0 23.91 r
48.0 23.05 u
48.0 24.75 y
48.0 24.53 z
49.0 23.46 g
49.0 24.26 i
49.0 23.91 r
49.0 23.06 u
49.0 24.75 y
49.0 24.54 z
50.0 23.47 g
50.0 24.27 i
50.0 23.92 r
50.0 23.06 u
50.0 24.76 y
50.0 24.54 z
51.0 23.47 g
51.0 24.28 i
51.0 23.92 r
51.0 23.07 u
51.0 24.76 y
51.0 24.55 z
52.0 23.48 g
52.0 24.28 i
52.0 23.93 r
52.0 23.08 u
52.0 24.77 y
52.0 24.56 z
53.0 23.49 g
53.0 24.29 i
53.0 23.94 r
53.0 23.08 u
53.0 24.78 y
53.0 24.56 z
54.0 23.49 g
54.0 24.3 i
54.0 23.94 r
54.0 23.09 u
54.0 24.78 y
54.0 24.57 z
55.0 23.5 g
55.0 24.3 i
55.0 23.95 r
55.0 23.1 u
55.0 24.79 y
55.0 24.57 z
56.0 23.5 g
56.0 24.31 i
56.0 23.96 r
56.0 23.1 u
56.0 24.8 y
56.0 24.58 z
57.0 23.51 g
57.0 24.32 i
57.0 23.96 r
57.0 23.11 u
57.0 24.8 y
57.0 24.59 z
58.0 23.52 g
58.0 24.32 i
58.0 23.97 r
58.0 23.11 u
58.0 24.81 y
58.0 24.59 z
59.0 23.52 g
59.0 24.33 i
59.0 23.97 r
59.0 23.12 u
59.0 24.82 y
59.0 24.6 z
60.0 23.53 g
60.0 24.33 i
60.0 23.98 r
60.0 23.13 u
60.0 24.82 y
60.0 24.61 z
61.0 23.54 g
61.0 24.34 i
61.0 23.99 r
61.0 23.13 u
61.0 24.83 y
61.0 24.61 z
62.0 23.54 g
62.0 24.35 i
62.0 23.99 r
62.0 23.14 u
62.0 24.83 y
62.0 24.62 z
63.0 23.55 g
63.0 24.35 i
63.0 24.0 r
63.0 23.15 u
63.0 24.84 y
63.0 24.62 z
64.0 23.55 g
64.0 24.36 i
64.0 24.01 r
64.0 23.15 u
64.0 24.85 y
64.0 24.63 z
65.0 23.56 g
65.0 24.36 i
65.0 24.01 r
65.0 23.16 u
65.0 24.85 y
65.0 24.64 z
66.0 23.57 g
66.0 24.37 i
66.0 24.02 r
66.0 23.16 u
66.0 24.86 y
66.0 24.64 z
67.0 23.57 g
67.0 24.38 i
67.0 24.02 r
67.0 23.17 u
67.0 24.86 y
67.0 24.65 z
68.0 23.58 g
68.0 24.38 i
68.0 24.03 r
68.0 23.18 u
68.0 24.87 y
68.0 24.65 z
69.0 23.58 g
69.0 24.39 i
69.0 24.04 r
69.0 23.18 u
69.0 24.88 y
69.0 24.66 z
70.0 23.59 g
70.0 24.39 i
70.0 24.04 r
70.0 23.19 u
70.0 24.88 y
70.0 24.67 z
71.0 23.6 g
71.0 24.4 i
71.0 24.05 r
71.0 23.19 u
71.0 24.89 y
71.0 24.67 z
72.0 23.6 g
72.0 24.41 i
72.0 24.05 r
72.0 23.2 u
72.0 24.89 y
72.0 24.68 z
73.0 23.61 g
73.0 24.41 i
73.0 24.06 r
73.0 23.2 u
73.0 24.9 y
73.0 24.68 z
74.0 23.61 g
74.0 24.42 i
74.0 24.06 r
74.0 23.21 u
74.0 24.9 y
74.0 24.69 z
75.0 23.62 g
75.0 24.42 i
