#time magnitude filter
-37.0 20.95 g
-40.0 21.65 i
-39.0 21.33 r
-35.0 20.62 u
-41.0 22.1 y
-41.0 21.9 z
-36.0 20.72 g
-39.0 21.42 i
-38.0 21.11 r
-34.0 20.4 u
-40.0 21.87 y
-40.0 21.67 z
-35.0 20.54 g
-38.0 21.24 i
-37.0 20.92 r
-33.0 20.22 u
-39.0 21.69 y
-39.0 21.49 z
-34.0 20.39 g
-37.0 21.09 i
-36.0 20.77 r
-32.0 20.07 u
-38.0 21.54 y
-38.0 21.34 z
-33.0 20.26 g
-36.0 20.96 i
-35.0 20.64 r
-31.0 19.94 u
-37.0 21.41 y
-37.0 21.21 z
-32.0 20.15 g
-35.0 20.85 i
-34.0 20.53 r
-30.0 19.84 u
-36.0 21.3 y
-36.0 21.1 z
-31.0 20.06 g
-34.0 20.75 i
-33.0 20.44 r
-29.0 19.74 u
-35.0 21.2 y
-35.0 21.0 z
-30.0 19.97 g
-33.0 20.66 i
-32.0 20.35 r
-28.0 19.66 u
-34.0 21.11 y
-34.0 20.91 z
-29.0 19.9 g
-32.0 20.59 i
-31.0 20.27 r
-27.0 19.59 u
-33.0 21.03 y
-33.0 20.83 z
-28.0 19.83 g
-31.0 20.52 i
-30.0 20.2 r
-26.0 19.53 u
-32.0 20.96 y
-32.0 20.76 z
-27.0 19.77 g
-30.0 20.45 i
-29.0 20.14 r
-25.0 19.47 u
-31.0 20.89 y
-31.0 20.7 z
-26.0 19.72 g
-29.0 20.39 i
-28.0 20.08 r
-24.0 19.41 u
-30.0 20.84 y
-30.0 20.64 z
-25.0 19.66 g
-28.0 20.34 i
-27.0 20.03 r
-23.0 19.37 u
-29.0 20.78 y
-29.0 20.58 z
-24.0 19.62 g
-27.0 20.29 i
-26.0 19.98 r
-22.0 19.32 u
-28.0 20.73 y
-28.0 20.53 z
-23.0 19.58 g
-26.0 20.24 i
-25.0 19.94 r
-21.0 19.28 u
-27.0 20.68 y
-27.0 20.49 z
-22.0 19.54 g
-25.0 20.2 i
-24.0 19.9 r
-20.0 19.24 u
-26.0 20.64 y
-26.0 20.44 z
-21.0 19.5 g
-24.0 20.16 i
-23.0 19.86 r
-19.0 19.21 u
-25.0 20.6 y
-25.0 20.4 z
-20.0 19.46 g
-23.0 20.12 i
-22.0 19.82 r
-18.0 19.18 u
-24.0 20.56 y
-24.0 20.37 z
-19.0 19.43 g
-22.0 20.09 i
-21.0 19.79 r
-17.0 19.15 u
-23.0 20.53 y
-23.0 20.33 z
-18.0 19.4 g
-21.0 20.06 i
-20.0 19.76 r
-16.0 19.12 u
-22.0 20.49 y
-22.0 20.3 z
-17.0 19.38 g
-20.0 20.03 i
-19.0 19.73 r
-15.0 19.1 u
-21.0 20.46 y
-21.0 20.27 z
-16.0 19.35 g
-19.0 20.0 i
-18.0 19.7 r
-14.0 19.07 u
-20.0 20.43 y
-20.0 20.24 z
-15.0 19.33 g
-18.0 19.98 i
-17.0 19.68 r
-13.0 19.05 u
-19.0 20.41 y
-19.0 20.21 z
-14.0 19.31 g
-17.0 19.95 i
-16.0 19.65 r
-12.0 19.03 u
-18.0 20.38 y
-18.0 20.19 z
-13.0 19.29 g
-16.0 19.93 i
-15.0 19.63 r
-11.0 19.02 u
-17.0 20.36 y
-17.0 20.17 z
-12.0 19.27 g
-15.0 19.91 i
-14.0 19.61 r
-10.0 19.0 u
-16.0 20.34 y
-16.0 20.15 z
-11.0 19.26 g
-14.0 19.89 i
-13.0 19.6 r
-9.0 18.99 u
-15.0 20.32 y
-15.0 20.13 z
-10.0 19.24 g
-13.0 19.87 i
-12.0 19.58 r
-8.0 18.98 u
-14.0 20.3 y
-14.0 20.11 z
-9.0 19.23 g
-12.0 19.86 i
-11.0 19.57 r
-7.0 18.97 u
-13.0 20.29 y
-13.0 20.09 z
-8.0 19.22 g
-11.0 19.85 i
-10.0 19.55 r
-6.0 18.96 u
-12.0 20.27 y
-12.0 20.08 z
-7.0 19.21 g
-10.0 19.83 i
-9.0 19.54 r
-5.0 18.95 u
-11.0 20.26 y
-11.0 20.07 z
-6.0 19.2 g
-9.0 19.82 i
-8.0 19.53 r
-4.0 18.94 u
-10.0 20.25 y
-10.0 20.06 z
-5.0 19.19 g
-8.0 19.81 i
-7.0 19.53 r
-3.0 18.94 u
-9.0 20.24 y
-9.0 20.05 z
-4.0 19.19 g
-7.0 19.81 i
-6.0 19.52 r
-2.0 18.94 u
-8.0 20.23 y
-8.0 20.04 z
-3.0 19.18 g
-6.0 19.8 i
-5.0 19.51 r
-1.0 18.94 u
-7.0 20.22 y
-7.0 20.03 z
-2.0 19.18 g
-5.0 19.79 i
-4.0 19.51 r
0.0 18.93 u
-6.0 20.21 y
-6.0 20.03 z
-1.0 19.18 g
-4.0 19.79 i
-3.0 19.51 r
1.0 18.93 u
-5.0 20.21 y
-5.0 20.02 z
0.0 19.18 g
-3.0 19.79 i
-2.0 19.5 r
2.0 18.94 u
-4.0 20.21 y
-4.0 20.02 z
1.0 19.18 g
-2.0 19.78 i
-1.0 19.5 r
3.0 18.94 u
-3.0 20.2 y
-3.0 20.01 z
2.0 19.18 g
-1.0 19.78 i
0.0 19.5 r
4.0 18.94 u
-2.0 20.2 y
-2.0 20.01 z
3.0 19.18 g
0.0 19.78 i
1.0 19.5 r
5.0 18.94 u
-1.0 20.2 y
-1.0 20.01 z
4.0 19.18 g
1.0 19.78 i
2.0 19.5 r
6.0 18.95 u
0.0 20.2 y
0.0 20.01 z
5.0 19.19 g
2.0 19.78 i
3.0 19.5 r
7.0 18.95 u
1.0 20.2 y
1.0 20.01 z
6.0 19.19 g
3.0 19.79 i
4.0 19.51 r
8.0 18.96 u
2.0 20.2 y
2.0 20.01 z
7.0 19.19 g
4.0 19.79 i
5.0 19.51 r
9.0 18.96 u
3.0 20.2 y
3.0 20.01 z
8.0 19.2 g
5.0 19.79 i
6.0 19.51 r
10.0 18.97 u
4.0 20.2 y
4.0 20.02 z
9.0 19.2 g
6.0 19.79 i
7.0 19.51 r
11.0 18.98 u
5.0 20.2 y
5.0 20.02 z
10.0 19.21 g
