#time magnitude filter
-59.0 25.32 g
-59.0 26.19 i
-59.0 25.81 r
-59.0 24.86 u
-59.0 26.71 y
-59.0 26.48 z
-58.0 24.87 g
-58.0 25.74 i
-58.0 25.36 r
-58.0 24.41 u
-58.0 26.25 y
-58.0 26.02 z
-57.0 24.45 g
-57.0 25.31 i
-57.0 24.94 r
-57.0 24.0 u
-57.0 25.82 y
-57.0 25.6 z
-56.0 24.07 g
-56.0 24.93 i
-56.0 24.55 r
-56.0 23.63 u
-56.0 25.44 y
-56.0 25.21 z
-55.0 23.73 g
-55.0 24.58 i
-55.0 24.21 r
-55.0 23.29 u
-55.0 25.09 y
-55.0 24.87 z
-54.0 23.43 g
-54.0 24.27 i
-54.0 23.9 r
-54.0 23.0 u
-54.0 24.78 y
-54.0 24.55 z
-53.0 23.16 g
-53.0 23.99 i
-53.0 23.63 r
-53.0 22.73 u
-53.0 24.49 y
-53.0 24.27 z
-52.0 22.91 g
-52.0 23.74 i
-52.0 23.38 r
-52.0 22.48 u
-52.0 24.24 y
-52.0 24.02 z
-51.0 22.68 g
-51.0 23.51 i
-51.0 23.15 r
-51.0 22.26 u
-51.0 24.01 y
-51.0 23.79 z
-50.0 22.48 g
-50.0 23.3 i
-50.0 22.94 r
-50.0 22.06 u
-50.0 23.79 y
-50.0 23.58 z
-49.0 22.29 g
-49.0 23.11 i
-49.0 22.75 r
-49.0 21.88 u
-49.0 23.6 y
-49.0 23.38 z
-48.0 22.12 g
-48.0 22.93 i
-48.0 22.57 r
-48.0 21.71 u
-48.0 23.42 y
-48.0 23.2 z
-47.0 21.96 g
-47.0 22.76 i
-47.0 22.41 r
-47.0 21.56 u
-47.0 23.25 y
-47.0 23.04 z
-46.0 21.81 g
-46.0 22.61 i
-46.0 22.26 r
-46.0 21.41 u
-46.0 23.1 y
-46.0 22.88 z
-45.0 21.67 g
-45.0 22.47 i
-45.0 22.12 r
-45.0 21.28 u
-45.0 22.96 y
-45.0 22.74 z
-44.0 21.55 g
-44.0 22.34 i
-44.0 21.99 r
-44.0 21.16 u
-44.0 22.82 y
-44.0 22.61 z
-43.0 21.43 g
-43.0 22.22 i
-43.0 21.87 r
-43.0 21.04 u
-43.0 22.7 y
-43.0 22.49 z
-42.0 21.32 g
-42.0 22.1 i
-42.0 21.76 r
-42.0 20.93 u
-42.0 22.59 y
-42.0 22.37 z
-41.0 21.22 g
-41.0 22.0 i
-41.0 21.65 r
-41.0 20.83 u
-41.0 22.48 y
-41.0 22.27 z
-40.0 21.12 g
-40.0 21.9 i
-40.0 21.55 r
-40.0 20.74 u
-40.0 22.38 y
-40.0 22.17 z
-39.0 21.03 g
-39.0 21.81 i
-39.0 21.46 r
-39.0 20.65 u
-39.0 22.28 y
-39.0 22.07 z
-38.0 20.95 g
-38.0 21.72 i
-38.0 21.38 r
-38.0 20.57 u
-38.0 22.2 y
-38.0 21.98 z
-37.0 20.87 g
-37.0 21.64 i
-37.0 21.3 r
-37.0 20.5 u
-37.0 22.11 y
-37.0 21.9 z
-36.0 20.79 g
-36.0 21.56 i
-36.0 21.22 r
-36.0 20.42 u
-36.0 22.03 y
-36.0 21.82 z
-35.0 20.72 g
-35.0 21.49 i
-35.0 21.15 r
-35.0 20.36 u
-35.0 21.96 y
-35.0 21.75 z
-34.0 20.66 g
-34.0 21.42 i
-34.0 21.08 r
-34.0 20.29 u
-34.0 21.89 y
-34.0 21.68 z
-33.0 20.59 g
-33.0 21.35 i
-33.0 21.01 r
-33.0 20.23 u
-33.0 21.82 y
-33.0 21.61 z
-32.0 20.54 g
-32.0 21.29 i
-32.0 20.95 r
-32.0 20.17 u
-32.0 21.76 y
-32.0 21.55 z
-31.0 20.48 g
-31.0 21.23 i
-31.0 20.89 r
-31.0 20.12 u
-31.0 21.7 y
-31.0 21.49 z
-30.0 20.43 g
-30.0 21.17 i
-30.0 20.84 r
-30.0 20.07 u
-30.0 21.64 y
-30.0 21.44 z
-29.0 20.38 g
-29.0 21.12 i
-29.0 20.79 r
-29.0 20.02 u
-29.0 21.59 y
-29.0 21.38 z
-28.0 20.33 g
-28.0 21.07 i
-28.0 20.74 r
-28.0 19.97 u
-28.0 21.54 y
-28.0 21.33 z
-27.0 20.28 g
-27.0 21.02 i
-27.0 20.69 r
-27.0 19.93 u
-27.0 21.49 y
-27.0 21.28 z
-26.0 20.24 g
-26.0 20.98 i
-26.0 20.65 r
-26.0 19.89 u
-26.0 21.45 y
-26.0 21.24 z
-25.0 20.2 g
-25.0 20.94 i
-25.0 20.61 r
-25.0 19.85 u
-25.0 21.4 y
-25.0 21.2 z
-24.0 20.16 g
-24.0 20.9 i
-24.0 20.57 r
-24.0 19.81 u
-24.0 21.36 y
-24.0 21.15 z
-23.0 20.12 g
-23.0 20.86 i
-23.0 20.53 r
-23.0 19.77 u
-23.0 21.32 y
-23.0 21.12 z
-22.0 20.09 g
-22.0 20.82 i
-22.0 20.49 r
-22.0 19.74 u
-22.0 21.29 y
-22.0 21.08 z
-21.0 20.06 g
-21.0 20.79 i
-21.0 20.46 r
-21.0 19.71 u
-21.0 21.25 y
-21.0 21.05 z
-20.0 20.02 g
-20.0 20.76 i
-20.0 20.43 r
-20.0 19.68 u
-20.0 21.22 y
-20.0 21.01 z
-19.0 20.0 g
-19.0 20.73 i
-19.0 20.4 r
-19.0 19.65 u
-19.0 21.19 y
-19.0 20.98 z
-18.0 19.97 g
-18.0 20.7 i
-18.0 20.37 r
-18.0 19.63 u
-18.0 21.16 y
-18.0 20.95 z
-17.0 19.94 g
-17.0 20.67 i
-17.0 20.34 r
-17.0 19.6 u
-17.0 21.13 y
-17.0 20.93 z
-16.0 19.92 g
-16.0 20.65 i
-16.0 20.32 r
-16.0 19.58 u
-16.0 21.11 y
-16.0 20.9 z
-15.0 19.9 g
-15.0 20.62 i
-15.0 20.3 r
-15.0 19.56 u
-15.0 21.08 y
-15.0 20.88 z
-14.0 19.88 g
-14.0 20.6 i
-14.0 20.28 r
-14.0 19.54 u
-14.0 21.06 y
-14.0 20.86 z
-13.0 19.86 g
-13.0 20.58 i
-13.0 20.26 r
-13.0 19.52 u
-13.0 21.04 y
-13.0 20.84 z
-12.0 19.84 g
-12.0 20.56 i
-12.0 20.24 r
-12.0 19.51 u
-12.0 21.02 y
-12.0 20.82 z
-11.0 19.83 g
-11.0 20.55 i
-11.0 20.22 r
-11.0 19.49 u
-11.0 21.01 y
-11.0 20.8 z
-10.0 19.81 g
-10.0 20.53 i
-10.0 20.21 r
-10.0 19.48 u
-10.0 20.99 y
-10.0 20.79 z
-9.0 19.8 g
-9.0 20.52 i
-9.0 20.2 r
-9.0 19.47 u
-9.0 20.98 y
-9.0 20.77 z
-8.0 19.79 g
-8.0 20.51 i
-8.0 20.18 r
-8.0 19.46 u
-8.0 20.97 y
-8.0 20.76 z
-7.0 19.78 g
-7.0 20.5 i
-7.0 20.17 r
-7.0 19.45 u
-7.0 20.96 y
-7.0 20.75 z
-6.0 19.77 g
-6.0 20.49 i
-6.0 20.17 r
-6.0 19.44 u
-6.0 20.95 y
-6.0 20.74 z
-5.0 19.77 g
-5.0 20.48 i
-5.0 20.16 r
-5.0 19.43 u
-5.0 20.94 y
-5.0 20.74 z
-4.0 19.76 g
-4.0 20.48 i
-4.0 20.15 r
-4.0 19.43 u
-4.0 20.93 y
-4.0 20.73 z
-3.0 19.76 g
-3.0 20.47 i
-3.0 20.15 r
-3.0 19.42 u
-3.0 20.93 y
-3.0 20.73 z
-2.0 19.75 g
-2.0 20.47 i
-2.0 20.15 r
-2.0 19.42 u
-2.0 20.93 y
-2.0 20.72 z
-1.0 19.75 g
-1.0 20.47 i
-1.0 20.14 r
-1.0 19.42 u
-1.0 20.92 y
-1.0 20.72 z
0.0 19.75 g
0.0 20.47 i
0.0 20.14 r
