#time magnitude filter
-23.0 22.0 g
-25.0 22.52 i
-24.0 22.27 r
-22.0 21.84 u
-26.0 22.9 y
-25.0 22.72 z
-22.0 21.94 g
-24.0 22.45 i
-23.0 22.2 r
-21.0 21.77 u
-25.0 22.83 y
-24.0 22.65 z
-21.0 21.88 g
-23.0 22.38 i
-22.0 22.14 r
-20.0 21.71 u
-24.0 22.76 y
-23.0 22.59 z
-20.0 21.82 g
-22.0 22.32 i
-21.0 22.08 r
-19.0 21.66 u
-23.0 22.71 y
-22.0 22.53 z
-19.0 21.77 g
-21.0 22.27 i
-20.0 22.02 r
-18.0 21.61 u
-22.0 22.65 y
-21.0 22.48 z
-18.0 21.72 g
-20.0 22.22 i
-19.0 21.97 r
-17.0 21.56 u
-21.0 22.6 y
-20.0 22.43 z
-17.0 21.68 g
-19.0 22.17 i
-18.0 21.93 r
-16.0 21.52 u
-20.0 22.55 y
-19.0 22.38 z
-16.0 21.64 g
-18.0 22.13 i
-17.0 21.89 r
-15.0 21.49 u
-19.0 22.51 y
-18.0 22.34 z
-15.0 21.6 g
-17.0 22.09 i
-16.0 21.85 r
-14.0 21.45 u
-18.0 22.47 y
-17.0 22.3 z
-14.0 21.57 g
-16.0 22.06 i
-15.0 21.82 r
-13.0 21.42 u
-17.0 22.43 y
-16.0 22.26 z
-13.0 21.54 g
-15.0 22.03 i
-14.0 21.79 r
-12.0 21.39 u
-16.0 22.4 y
-15.0 22.23 z
-12.0 21.51 g
-14.0 22.0 i
-13.0 21.76 r
-11.0 21.37 u
-15.0 22.37 y
-14.0 22.2 z
-11.0 21.49 g
-13.0 21.97 i
-12.0 21.73 r
-10.0 21.35 u
-14.0 22.34 y
-13.0 22.17 z
-10.0 21.47 g
-12.0 21.95 i
-11.0 21.71 r
-9.0 21.33 u
-13.0 22.32 y
-12.0 22.15 z
-9.0 21.45 g
-11.0 21.93 i
-10.0 21.69 r
-8.0 21.31 u
-12.0 22.3 y
-11.0 22.13 z
-8.0 21.43 g
-10.0 21.91 i
-9.0 21.67 r
-7.0 21.3 u
-11.0 22.28 y
-10.0 22.11 z
-7.0 21.42 g
-9.0 21.89 i
-8.0 21.65 r
-6.0 21.29 u
-10.0 22.26 y
-9.0 22.09 z
-6.0 21.41 g
-8.0 21.87 i
-7.0 21.64 r
-5.0 21.28 u
-9.0 22.24 y
-8.0 22.07 z
-5.0 21.4 g
-7.0 21.86 i
-6.0 21.63 r
-4.0 21.27 u
-8.0 22.23 y
-7.0 22.06 z
-4.0 21.39 g
-6.0 21.85 i
-5.0 21.62 r
-3.0 21.27 u
-7.0 22.22 y
-6.0 22.05 z
-3.0 21.38 g
-5.0 21.84 i
-4.0 21.61 r
-2.0 21.26 u
-6.0 22.21 y
-5.0 22.04 z
-2.0 21.38 g
-4.0 21.83 i
-3.0 21.6 r
-1.0 21.26 u
-5.0 22.2 y
-4.0 22.03 z
-1.0 21.38 g
-3.0 21.83 i
-2.0 21.6 r
0.0 21.26 u
-4.0 22.19 y
-3.0 22.02 z
0.0 21.37 g
-2.0 21.82 i
-1.0 21.6 r
1.0 21.26 u
-3.0 22.19 y
-2.0 22.02 z
1.0 21.38 g
-1.0 21.82 i
0.0 21.6 r
2.0 21.26 u
-2.0 22.18 y
-1.0 22.02 z
2.0 21.38 g
0.0 21.82 i
1.0 21.6 r
3.0 21.27 u
-1.0 22.18 y
0.0 22.02 z
3.0 21.38 g
1.0 21.82 i
2.0 21.6 r
4.0 21.28 u
0.0 22.18 y
1.0 22.02 z
4.0 21.39 g
2.0 21.82 i
3.0 21.6 r
5.0 21.28 u
1.0 22.18 y
2.0 22.02 z
5.0 21.39 g
3.0 21.83 i
4.0 21.61 r
6.0 21.29 u
2.0 22.18 y
3.0 22.02 z
6.0 21.4 g
4.0 21.83 i
5.0 21.61 r
7.0 21.3 u
3.0 22.19 y
4.0 22.02 z
7.0 21.41 g
5.0 21.84 i
6.0 21.62 r
8.0 21.31 u
4.0 22.19 y
5.0 22.03 z
8.0 21.42 g
6.0 21.85 i
7.0 21.63 r
9.0 21.32 u
5.0 22.2 y
6.0 22.04 z
9.0 21.43 g
7.0 21.86 i
8.0 21.64 r
10.0 21.34 u
6.0 22.21 y
7.0 22.05 z
10.0 21.44 g
8.0 21.86 i
9.0 21.65 r
11.0 21.35 u
7.0 22.22 y
8.0 22.05 z
11.0 21.45 g
9.0 21.88 i
10.0 21.66 r
12.0 21.37 u
8.0 22.23 y
9.0 22.06 z
12.0 21.47 g
10.0 21.89 i
11.0 21.67 r
13.0 21.38 u
9.0 22.24 y
10.0 22.08 z
13.0 21.48 g
11.0 21.9 i
12.0 21.68 r
14.0 21.4 u
10.0 22.25 y
11.0 22.09 z
14.0 21.5 g
12.0 21.91 i
13.0 21.7 r
15.0 21.42 u
11.0 22.26 y
12.0 22.1 z
15.0 21.51 g
13.0 21.93 i
14.0 21.71 r
16.0 21.43 u
12.0 22.27 y
13.0 22.11 z
16.0 21.53 g
14.0 21.94 i
15.0 21.73 r
17.0 21.45 u
13.0 22.29 y
14.0 22.13 z
17.0 21.55 g
15.0 21.96 i
16.0 21.74 r
18.0 21.47 u
14.0 22.3 y
15.0 22.14 z
18.0 21.57 g
16.0 21.97 i
17.0 21.76 r
19.0 21.49 u
15.0 22.32 y
16.0 22.16 z
19.0 21.58 g
17.0 21.99 i
18.0 21.78 r
20.0 21.51 u
16.0 22.34 y
17.0 22.18 z
20.0 21.6 g
18.0 22.01 i
19.0 21.8 r
21.0 21.53 u
17.0 22.35 y
18.0 22.19 z
21.0 21.62 g
19.0 22.02 i
20.0 21.81 r
22.0 21.55 u
18.0 22.37 y
19.0 22.21 z
22.0 21.64 g
20.0 22.04 i
21.0 21.83 r
23.0 21.57 u
19.0 22.39 y
20.0 22.23 z
23.0 21.66 g
21.0 22.06 i
22.0 21.85 r
24.0 21.59 u
20.0 22.4 y
21.0 22.25 z
24.0 21.68 g
22.0 22.08 i
23.0 21.87 r
25.0 21.61 u
21.0 22.42 y
22.0 22.26 z
25.0 21.7 g
23.0 22.1 i
24.0 21.89 r
26.0 21.63 u
22.0 22.44 y
23.0 22.28 z
26.0 21.72 g
24.0 22.12 i
25.0 21.91 r
27.0 21.65 u
23.0 22.46 y
24.0 22.3 z
27.0 21.74 g
25.0 22.14 i
26.0 21.93 r
28.0 21.67 u
24.0 22.48 y
25.0 22.32 z
28.0 21.76 g
26.0 22.16 i
27.0 21.95 r
29.0 21.7 u
25.0 22.5 y
26.0 22.34 z
29.0 21.78 g
27.0 22.18 i
28.0 21.97 r
30.0 21.72 u
26.0 22.52 y
27.0 22.36 z
30.0 21.8 g
28.0 22.2 i
29.0 21.99 r
31.0 21.74 u
27.0 22.54 y
28.0 22.38 z
31.0 21.82 g
29.0 22.22 i
30.0 22.01 r
32.0 21.76 u
28.0 22.56 y
29.0 22.4 z
32.0 21.84 g
30.0 22.24 i
31.0 22.03 r
33.0 21.78 u
29.0 22.58 y
30.0 22.42 z
33.0 21.86 g
31.0 22.25 i
32.0 22.05 r
34.0 21.8 u
30.0 22.6 y
31.0 22.44 z
34.0 21.88 g
32.0 22.27 i
33.0 22.07 r
35.0 21.82 u
31.0 22.62 y
32.0 22.46 z
35.0 21.9 g
33.0 22.29 i
34.0 22.09 r
36.0 21.84 u
32.0 22.64 y
33.0 22.48 z
36.0 21.92 g
34.0 22.31 i
35.0 22.11 r
37.0 21.86 u
33.0 22.66 y
34.0 22.5 z
37.0 21.94 g
35.0 22.33 i
36.0 22.13 r
38.0 21.88 u
34.0 22.67 y
35.0 22.52 z
38.0 21.96 g
36.0 22.35 i
37.0 22.15 r
39.0 21.9 u
35.0 22.69 y
36.0 22.54 z
39.0 21.98 g
37.0 22.37 i
38.0 22.17 r
40.0 21.92 u
36.0 22.71 y
37.0 22.56 z
40.0 22.0 g
38.0 22.39 i
39.0 22.19 r
41.0 21.94 u
37.0 22.73 y
38.0 22.57 z
41.0 22.02 g
39.0 22.41 i
40.0 22.2 r
42.0 21.96 u
38.0 22.75 y
39.0 22.59 z
42.0 22.04 g
40.0 22.43 i
41.0 22.22 r
43.0 21.98 u
39.0 22.77 y
40.0 22.61 z
43.0 22.06 g
41.0 22.45 i
42.0 22.24 r
44.0 22.0 u
40.0 22.79 y
41.0 22.63 z
44.0 22.08 g
42.0 22.47 i
43.0 22.26 r
45.0 22.02 u
41.0 22.81 y
42.0 22.65 z
45.0 22.1 g
43.0 22.49 i
44.0 22.28 r
46.0 22.03 u
42.0 22.83 y
43.0 22.67 z
46.0 22.11 g
44.0 22.51 i
45.0 22.3 r
47.0 22.05 u
43.0 22.85 y
44.0 22.69 z
47.0 22.13 g
45.0 22.52 i
46.0 22.32 r
48.0 22.07 u
44.0 22.86 y
45.0 22.71 z
48.0 22.15 g
46.0 22.54 i
47.0 22.34 r
49.0 22.09 u
45.0 22.88 y
46.0 22.73 z
49.0 22.17 g
47.0 22.56 i
48.0 22.35 r
50.0 22.11 u
46.0 22.9 y
47.0 22.74 z
50.0 22.19 g
48.0 22.58 i
49.0 22.37 r
51.0 22.12 u
47.0 22.92 y
48.0 22.76 z
51.0 22.2 g
49.0 22.6 i
50.0 22.39 r
52.0 22.14 u
48.0 22.94 y
49.0 22.78 z
52.0 22.22 g
50.0 22.61 i
51.0 22.41 r
53.0 22.16 u
49.0 22.96 y
50.0 22.8 z
53.0 22.24 g
51.0 22.63 i
52.0 22.42 r
54.0 22.17 u
50.0 22.97 y
51.0 22.81 z
54.0 22.26 g
52.0 22.65 i
53.0 22.44 r
55.0 22.19 u
51.0 22.99 y
52.0 22.83 z
55.0 22.27 g
53.0 22.67 i
54.0 22.46 r
56.0 22.21 u
52.0 23.01 y
53.0 22.85 z
56.0 22.29 g
54.0 22.68 i
55.0 22.48 r
57.0 22.22 u
53.0 23.03 y
54.0 22.87 z
57.0 22.31 g
55.0 22.7 i
56.0 22.49 r
58.0 22.24 u
54.0 23.04 y
55.0 22.88 z
58.0 22.32 g
56.0 22.72 i
57.0 22.51 r
59.0 22.26 u
55.0 23.06 y
56.0 22.9 z
59.0 22.34 g
57.0 22.73 i
58.0 22.53 r
60.0 22.27 u
56.0 23.08 y
57.0 22.92 z
60.0 22.35 g
58.0 22.75 i
59.0 22.54 r
61.0 22.29 u
57.0 23.09 y
58.0 22.94 z
61.0 22.37 g
59.0 22.77 i
60.0 22.56 r
62.0 22.3 u
58.0 23.11 y
59.0 22.95 z
62.0 22.39 g
60.0 22.78 i
61.0 22.58 r
63.0 22.32 u
59.0 23.13 y
60.0 22.97 z
63.0 22.4 g
61.0 22.8 i
62.0 22.59 r
64.0 22.33 u
60.0 23.14 y
61.0 22.99 z
64.0 22.42 g
62.0 22.82 i
63.0 22.61 r
65.0 22.35 u
61.0 23.16 y
62.0 23.0 z
65.0 22.43 g
63.0 22.83 i
64.0 22.62 r
66.0 22.36 u
62.0 23.18 y
63.0 23.02 z
66.0 22.45 g
64.0 22.85 i
65.0 22.64 r
67.0 22.38 u
63.0 23.19 y
64.0 23.04 z
67.0 22.47 g
65.0 22.87 i
66.0 22.66 r
68.0 22.39 u
64.0 23.21 y
65.0 23.05 z
68.0 22.48 g
66.0 22.88 i
67.0 22.67 r
69.0 22.41 u
65.0 23.23 y
66.0 23.07 z
69.0 22.5 g
67.0 22.9 i
68.0 22.69 r
70.0 22.42 u
66.0 23.24 y
67.0 23.08 z
70.0 22.51 g
68.0 22.91 i
69.0 22.7 r
71.0 22.44 u
67.0 23.26 y
68.0 23.1 z
71.0 22.53 g
69.0 22.93 i
70.0 22.72 r
72.0 22.45 u
68.0 23.28 y
69.0 23.12 z
72.0 22.54 g
70.0 22.95 i
71.0 22.74 r
73.0 22.47 u
69.0 23.29 y
70.0 23.13 z
73.0 22.56 g
71.0 22.96 i
72.0 22.75 r
74.0 22.48 u
70.0 23.31 y
71.0 23.15 z
74.0 22.57 g
72.0 22.98 i
73.0 22.77 r
75.0 22.5 u
71.0 23.32 y
72.0 23.16 z
75.0 22.59 g
73.0 22.99 i
74.0 22.78 r
76.0 22.51 u
72.0 23.34 y
73.0 23.18 z
76.0 22.6 g
74.0 23.01 i
75.0 22.8 r
77.0 22.53 u
73.0 23.36 y
74.0 23.2 z
77.0 22.62 g
75.0 23.02 i
76.0 22.81 r
78.0 22.54 u
74.0 23.37 y
75.0 23.21 z
78.0 22.63 g
76.0 23.04 i
77.0 22.83 r
79.0 22.55 u
75.0 23.39 y
76.0 23.23 z
79.0 22.65 g
77.0 23.06 i
78.0 22.84 r
80.0 22.57 u
76.0 23.4 y
77.0 23.24 z
80.0 22.66 g
78.0 23.07 i
79.0 22.86 r
81.0 22.58 u
77.0 23.42 y
78.0 23.26 z
81.0 22.68 g
79.0 23.09 i
80.0 22.87 r
82.0 22.6 u
78.0 23.43 y
79.0 23.27 z
82.0 22.69 g
80.0 23.1 i
81.0 22.89 r
83.0 22.61 u
79.0 23.45 y
80.0 23.29 z
83.0 22.7 g
81.0 23.12 i
82.0 22.9 r
84.0 22.62 u
80.0 23.46 y
81.0 23.3 z
84.0 22.72 g
82.0 23.13 i
83.0 22.92 r
85.0 22.64 u
81.0 23.48 y
82.0 23.32 z
85.0 22.73 g
83.0 23.15 i
84.0 22.93 r
86.0 22.65 u
82.0 23.5 y
83.0 23.33 z
86.0 22.75 g
84.0 23.16 i
85.0 22.95 r
87.0 22.66 u
83.0 23.51 y
84.0 23.35 z
87.0 22.76 g
85.0 23.18 i
86.0 22.96 r
88.0 22.68 u
84.0 23.53 y
85.0 23.36 z
88.0 22.77 g
86.0 23.19 i
87.0 22.98 r
89.0 22.69 u
85.0 23.54 y
86.0 23.38 z
89.0 22.79 g
87.0 23.21 i
88.0 22.99 r
90.0 22.7 u
86.0 23.56 y
87.0 23.39 z
90.0 22.8 g
88.0 23.22 i
89.0 23.0 r
91.0 22.72 u
87.0 23.57 y
88.0 23.41 z
91.0 22.82 g
89.0 23.24 i
90.0 23.02 r
92.0 22.73 u
88.0 23.59 y
89.0 23.42 z
92.0 22.83 g
90.0 23.25 i
91.0 23.03 r
93.0 22.74 u
89.0 23.6 y
90.0 23.44 z
93.0 22.84 g
91.0 23.26 i
92.0 23.05 r
94.0 22.76 u
90.0 23.62 y
91.0 23.45 z
94.0 22.86 g
92.0 23.28 i
93.0 23.06 r
95.0 22.77 u
91.0 23.63 y
92.0 23.47 z
95.0 22.87 g
93.0 23.29 i
94.0 23.08 r
96.0 22.78 u
92.0 23.65 y
93.0 23.48 z
96.0 22.89 g
94.0 23.31 i
95.0 23.09 r
97.0 22.8 u
93.0 23.66 y
94.0 23.5 z
97.0 22.9 g
95.0 23.32 i
96.0 23.11 r
98.0 22.81 u
94.0 23.68 y
95.0 23.51 z
98.0 22.91 g
96.0 23.34 i
97.0 23.12 r
99.0 22.82 u
95.0 23.69 y
96.0 23.53 z
