#time magnitude filter
-31.0 18.91 g
-35.0 19.4 i
-34.0 19.16 r
-28.0 18.77 u
-37.0 19.78 y
-36.0 19.61 z
-30.0 18.79 g
-34.0 19.27 i
-33.0 19.03 r
-27.0 18.65 u
-36.0 19.64 y
-35.0 19.47 z
-29.0 18.67 g
-33.0 19.15 i
-32.0 18.91 r
-26.0 18.54 u
-35.0 19.52 y
-34.0 19.35 z
-28.0 18.57 g
-32.0 19.04 i
-31.0 18.81 r
-25.0 18.45 u
-34.0 19.42 y
-33.0 19.25 z
-27.0 18.49 g
-31.0 18.95 i
-30.0 18.72 r
-24.0 18.37 u
-33.0 19.32 y
-32.0 19.15 z
-26.0 18.41 g
-30.0 18.87 i
-29.0 18.63 r
-23.0 18.29 u
-32.0 19.23 y
-31.0 19.06 z
-25.0 18.34 g
-29.0 18.79 i
-28.0 18.56 r
-22.0 18.23 u
-31.0 19.15 y
-30.0 18.99 z
-24.0 18.27 g
-28.0 18.72 i
-27.0 18.49 r
-21.0 18.17 u
-30.0 19.08 y
-29.0 18.91 z
-23.0 18.21 g
-27.0 18.65 i
-26.0 18.43 r
-20.0 18.11 u
-29.0 19.01 y
-28.0 18.85 z
-22.0 18.16 g
-26.0 18.59 i
-25.0 18.37 r
-19.0 18.06 u
-28.0 18.95 y
-27.0 18.79 z
-21.0 18.11 g
-25.0 18.54 i
-24.0 18.31 r
-18.0 18.01 u
-27.0 18.89 y
-26.0 18.73 z
-20.0 18.06 g
-24.0 18.48 i
-23.0 18.26 r
-17.0 17.97 u
-26.0 18.84 y
-25.0 18.68 z
-19.0 18.02 g
-23.0 18.43 i
-22.0 18.22 r
-16.0 17.93 u
-25.0 18.79 y
-24.0 18.62 z
-18.0 17.98 g
-22.0 18.39 i
-21.0 18.17 r
-15.0 17.9 u
-24.0 18.74 y
-23.0 18.58 z
-17.0 17.94 g
-21.0 18.35 i
-20.0 18.13 r
-14.0 17.87 u
-23.0 18.69 y
-22.0 18.53 z
-16.0 17.9 g
-20.0 18.3 i
-19.0 18.09 r
-13.0 17.84 u
-22.0 18.65 y
-21.0 18.49 z
-15.0 17.87 g
-19.0 18.27 i
-18.0 18.06 r
-12.0 17.81 u
-21.0 18.61 y
-20.0 18.45 z
-14.0 17.84 g
-18.0 18.23 i
-17.0 18.02 r
-11.0 17.78 u
-20.0 18.58 y
-19.0 18.42 z
-13.0 17.81 g
-17.0 18.2 i
-16.0 17.99 r
-10.0 17.76 u
-19.0 18.54 y
-18.0 18.38 z
-12.0 17.79 g
-16.0 18.17 i
-15.0 17.96 r
-9.0 17.74 u
-18.0 18.51 y
-17.0 18.35 z
-11.0 17.76 g
-15.0 18.14 i
-14.0 17.94 r
-8.0 17.72 u
-17.0 18.48 y
-16.0 18.32 z
-10.0 17.74 g
-14.0 18.11 i
-13.0 17.91 r
-7.0 17.7 u
-16.0 18.45 y
-15.0 18.29 z
-9.0 17.72 g
-13.0 18.09 i
-12.0 17.89 r
-6.0 17.69 u
-15.0 18.42 y
-14.0 18.27 z
-8.0 17.71 g
-12.0 18.06 i
-11.0 17.87 r
-5.0 17.68 u
-14.0 18.39 y
-13.0 18.24 z
-7.0 17.69 g
-11.0 18.04 i
-10.0 17.85 r
-4.0 17.67 u
-13.0 18.37 y
-12.0 18.22 z
-6.0 17.68 g
-10.0 18.02 i
-9.0 17.83 r
-3.0 17.66 u
-12.0 18.35 y
-11.0 18.2 z
-5.0 17.67 g
-9.0 18.01 i
-8.0 17.82 r
-2.0 17.65 u
-11.0 18.33 y
-10.0 18.18 z
-4.0 17.66 g
-8.0 17.99 i
-7.0 17.8 r
-1.0 17.65 u
-10.0 18.31 y
-9.0 18.16 z
-3.0 17.65 g
-7.0 17.98 i
-6.0 17.79 r
0.0 17.65 u
-9.0 18.3 y
-8.0 18.15 z
-2.0 17.65 g
-6.0 17.96 i
-5.0 17.78 r
1.0 17.65 u
-8.0 18.28 y
-7.0 18.13 z
-1.0 17.64 g
-5.0 17.95 i
-4.0 17.78 r
2.0 17.65 u
-7.0 18.27 y
-6.0 18.12 z
0.0 17.64 g
-4.0 17.95 i
-3.0 17.77 r
3.0 17.66 u
-6.0 18.26 y
-5.0 18.11 z
1.0 17.64 g
-3.0 17.94 i
-2.0 17.77 r
4.0 17.67 u
-5.0 18.25 y
-4.0 18.11 z
2.0 17.65 g
-2.0 17.94 i
-1.0 17.76 r
5.0 17.67 u
-4.0 18.24 y
-3.0 18.1 z
3.0 17.65 g
-1.0 17.93 i
0.0 17.76 r
6.0 17.68 u
-3.0 18.24 y
-2.0 18.09 z
4.0 17.66 g
