#time magnitude filter
0.0 19.74 g
0.0 20.08 i
0.0 19.9 r
0.0 19.61 u
0.0 20.34 y
0.0 20.22 z
1.0 19.76 g
1.0 20.1 i
1.0 19.92 r
1.0 19.63 u
1.0 20.36 y
1.0 20.25 z
2.0 19.78 g
2.0 20.12 i
2.0 19.94 r
2.0 19.65 u
2.0 20.38 y
2.0 20.27 z
3.0 19.8 g
3.0 20.14 i
3.0 19.96 r
3.0 19.67 u
3.0 20.4 y
3.0 20.29 z
4.0 19.83 g
4.0 20.16 i
4.0 19.98 r
4.0 19.69 u
4.0 20.42 y
4.0 20.31 z
5.0 19.85 g
5.0 20.19 i
5.0 20.0 r
5.0 19.71 u
5.0 20.45 y
5.0 20.33 z
6.0 19.87 g
6.0 20.21 i
6.0 20.03 r
6.0 19.73 u
6.0 20.47 y
6.0 20.36 z
7.0 19.89 g
7.0 20.23 i
7.0 20.05 r
7.0 19.75 u
7.0 20.49 y
7.0 20.38 z
8.0 19.91 g
8.0 20.25 i
8.0 20.07 r
8.0 19.77 u
8.0 20.51 y
8.0 20.4 z
9.0 19.93 g
9.0 20.28 i
9.0 20.09 r
9.0 19.8 u
9.0 20.54 y
9.0 20.42 z
10.0 19.95 g
10.0 20.3 i
10.0 20.11 r
10.0 19.82 u
10.0 20.56 y
10.0 20.45 z
11.0 19.98 g
11.0 20.32 i
11.0 20.14 r
11.0 19.84 u
11.0 20.58 y
11.0 20.47 z
12.0 20.0 g
12.0 20.34 i
12.0 20.16 r
12.0 19.86 u
12.0 20.6 y
12.0 20.49 z
13.0 20.02 g
13.0 20.36 i
13.0 20.18 r
13.0 19.88 u
13.0 20.63 y
13.0 20.51 z
14.0 20.04 g
14.0 20.38 i
14.0 20.2 r
14.0 19.9 u
14.0 20.65 y
14.0 20.53 z
15.0 20.06 g
15.0 20.41 i
15.0 20.22 r
15.0 19.92 u
15.0 20.67 y
15.0 20.56 z
16.0 20.08 g
16.0 20.43 i
16.0 20.24 r
16.0 19.94 u
16.0 20.69 y
16.0 20.58 z
17.0 20.1 g
17.0 20.45 i
17.0 20.26 r
17.0 19.96 u
17.0 20.71 y
17.0 20.6 z
18.0 20.12 g
18.0 20.47 i
18.0 20.28 r
18.0 19.98 u
18.0 20.73 y
18.0 20.62 z
19.0 20.14 g
19.0 20.49 i
19.0 20.31 r
19.0 20.0 u
19.0 20.76 y
19.0 20.64 z
20.0 20.16 g
20.0 20.51 i
20.0 20.33 r
20.0 20.02 u
20.0 20.78 y
20.0 20.66 z
21.0 20.18 g
21.0 20.53 i
21.0 20.35 r
21.0 20.04 u
21.0 20.8 y
21.0 20.68 z
22.0 20.2 g
22.0 20.56 i
22.0 20.37 r
22.0 20.06 u
22.0 20.82 y
22.0 20.71 z
23.0 20.22 g
23.0 20.58 i
23.0 20.39 r
23.0 20.08 u
23.0 20.84 y
23.0 20.73 z
24.0 20.24 g
24.0 20.6 i
24.0 20.41 r
24.0 20.1 u
24.0 20.86 y
24.0 20.75 z
25.0 20.26 g
25.0 20.62 i
25.0 20.43 r
25.0 20.12 u
25.0 20.88 y
25.0 20.77 z
26.0 20.28 g
26.0 20.64 i
26.0 20.45 r
26.0 20.14 u
26.0 20.9 y
26.0 20.79 z
27.0 20.3 g
27.0 20.66 i
27.0 20.47 r
27.0 20.16 u
27.0 20.92 y
27.0 20.81 z
28.0 20.32 g
28.0 20.68 i
28.0 20.49 r
28.0 20.18 u
28.0 20.94 y
28.0 20.83 z
29.0 20.34 g
29.0 20.7 i
29.0 20.51 r
29.0 20.19 u
29.0 20.96 y
29.0 20.85 z
30.0 20.36 g
30.0 20.72 i
30.0 20.53 r
30.0 20.21 u
30.0 20.98 y
30.0 20.87 z
31.0 20.38 g
31.0 20.74 i
31.0 20.55 r
31.0 20.23 u
31.0 21.0 y
31.0 20.89 z
32.0 20.4 g
32.0 20.76 i
32.0 20.57 r
32.0 20.25 u
32.0 21.02 y
32.0 20.91 z
33.0 20.42 g
33.0 20.78 i
33.0 20.59 r
33.0 20.27 u
33.0 21.04 y
33.0 20.93 z
34.0 20.44 g
34.0 20.8 i
34.0 20.61 r
34.0 20.29 u
34.0 21.06 y
34.0 20.95 z
35.0 20.46 g
35.0 20.82 i
35.0 20.63 r
35.0 20.31 u
35.0 21.08 y
35.0 20.97 z
36.0 20.47 g
36.0 20.83 i
36.0 20.64 r
36.0 20.32 u
36.0 21.1 y
36.0 20.99 z
37.0 20.49 g
37.0 20.85 i
37.0 20.66 r
37.0 20.34 u
37.0 21.12 y
37.0 21.01 z
38.0 20.51 g
38.0 20.87 i
38.0 20.68 r
38.0 20.36 u
38.0 21.14 y
38.0 21.02 z
39.0 20.53 g
39.0 20.89 i
39.0 20.7 r
39.0 20.38 u
39.0 21.16 y
39.0 21.04 z
40.0 20.55 g
40.0 20.91 i
40.0 20.72 r
40.0 20.39 u
40.0 21.18 y
40.0 21.06 z
41.0 20.57 g
41.0 20.93 i
41.0 20.74 r
41.0 20.41 u
41.0 21.2 y
41.0 21.08 z
42.0 20.58 g
42.0 20.95 i
42.0 20.75 r
42.0 20.43 u
42.0 21.21 y
42.0 21.1 z
43.0 20.6 g
43.0 20.96 i
43.0 20.77 r
43.0 20.45 u
43.0 21.23 y
43.0 21.12 z
44.0 20.62 g
44.0 20.98 i
44.0 20.79 r
44.0 20.46 u
44.0 21.25 y
44.0 21.13 z
45.0 20.64 g
45.0 21.0 i
45.0 20.81 r
45.0 20.48 u
45.0 21.27 y
45.0 21.15 z
46.0 20.65 g
46.0 21.02 i
46.0 20.83 r
46.0 20.5 u
46.0 21.29 y
46.0 21.17 z
47.0 20.67 g
47.0 21.04 i
47.0 20.84 r
47.0 20.51 u
47.0 21.31 y
47.0 21.19 z
48.0 20.69 g
48.0 21.05 i
48.0 20.86 r
48.0 20.53 u
48.0 21.32 y
48.0 21.21 z
49.0 20.7 g
49.0 21.07 i
49.0 20.88 r
49.0 20.55 u
49.0 21.34 y
49.0 21.22 z
50.0 20.72 g
50.0 21.09 i
50.0 20.9 r
50.0 20.56 u
50.0 21.36 y
50.0 21.24 z
51.0 20.74 g
51.0 21.11 i
51.0 20.91 r
51.0 20.58 u
51.0 21.38 y
51.0 21.26 z
52.0 20.75 g
52.0 21.12 i
52.0 20.93 r
52.0 20.6 u
52.0 21.39 y
52.0 21.28 z
53.0 20.77 g
53.0 21.14 i
53.0 20.95 r
53.0 20.61 u
53.0 21.41 y
53.0 21.29 z
54.0 20.79 g
54.0 21.16 i
54.0 20.96 r
54.0 20.63 u
54.0 21.43 y
54.0 21.31 z
55.0 20.8 g
55.0 21.17 i
55.0 20.98 r
55.0 20.65 u
55.0 21.44 y
55.0 21.33 z
56.0 20.82 g
56.0 21.19 i
56.0 21.0 r
56.0 20.66 u
56.0 21.46 y
56.0 21.34 z
57.0 20.84 g
57.0 21.21 i
57.0 21.01 r
57.0 20.68 u
57.0 21.48 y
57.0 21.36 z
58.0 20.85 g
58.0 21.22 i
58.0 21.03 r
58.0 20.69 u
58.0 21.49 y
58.0 21.38 z
59.0 20.87 g
59.0 21.24 i
59.0 21.05 r
59.0 20.71 u
59.0 21.51 y
59.0 21.39 z
60.0 20.88 g
60.0 21.26 i
60.0 21.06 r
60.0 20.72 u
60.0 21.53 y
60.0 21.41 z
61.0 20.9 g
61.0 21.27 i
61.0 21.08 r
61.0 20.74 u
61.0 21.54 y
61.0 21.43 z
62.0 20.92 g
62.0 21.29 i
62.0 21.09 r
62.0 20.76 u
62.0 21.56 y
62.0 21.44 z
63.0 20.93 g
63.0 21.3 i
63.0 21.11 r
63.0 20.77 u
63.0 21.58 y
63.0 21.46 z
64.0 20.95 g
64.0 21.32 i
64.0 21.13 r
64.0 20.79 u
64.0 21.59 y
64.0 21.48 z
65.0 20.96 g
65.0 21.34 i
65.0 21.14 r
65.0 20.8 u
65.0 21.61 y
65.0 21.49 z
66.0 20.98 g
66.0 21.35 i
66.0 21.16 r
66.0 20.82 u
66.0 21.63 y
66.0 21.51 z
67.0 20.99 g
67.0 21.37 i
67.0 21.17 r
67.0 20.83 u
67.0 21.64 y
67.0 21.52 z
68.0 21.01 g
68.0 21.38 i
68.0 21.19 r
68.0 20.85 u
68.0 21.66 y
68.0 21.54 z
69.0 21.03 g
69.0 21.4 i
69.0 21.2 r
69.0 20.86 u
69.0 21.67 y
69.0 21.56 z
70.0 21.04 g
70.0 21.42 i
70.0 21.22 r
70.0 20.88 u
70.0 21.69 y
70.0 21.57 z
71.0 21.06 g
71.0 21.43 i
71.0 21.24 r
71.0 20.89 u
71.0 21.7 y
71.0 21.59 z
72.0 21.07 g
72.0 21.45 i
72.0 21.25 r
72.0 20.91 u
72.0 21.72 y
72.0 21.6 z
73.0 21.09 g
73.0 21.46 i
73.0 21.27 r
73.0 20.92 u
73.0 21.74 y
73.0 21.62 z
74.0 21.1 g
74.0 21.48 i
74.0 21.28 r
74.0 20.94 u
74.0 21.75 y
74.0 21.63 z
75.0 21.12 g
75.0 21.49 i
75.0 21.3 r
75.0 20.95 u
75.0 21.77 y
75.0 21.65 z
76.0 21.13 g
76.0 21.51 i
76.0 21.31 r
76.0 20.97 u
76.0 21.78 y
76.0 21.66 z
77.0 21.15 g
77.0 21.52 i
77.0 21.33 r
77.0 20.98 u
77.0 21.8 y
77.0 21.68 z
78.0 21.16 g
78.0 21.54 i
78.0 21.34 r
78.0 20.99 u
78.0 21.81 y
78.0 21.69 z
79.0 21.17 g
79.0 21.55 i
79.0 21.36 r
79.0 21.01 u
79.0 21.83 y
79.0 21.71 z
80.0 21.19 g
80.0 21.57 i
80.0 21.37 r
80.0 21.02 u
80.0 21.84 y
80.0 21.72 z
81.0 21.2 g
81.0 21.58 i
81.0 21.39 r
81.0 21.04 u
81.0 21.86 y
81.0 21.74 z
82.0 21.22 g
82.0 21.6 i
82.0 21.4 r
82.0 21.05 u
82.0 21.87 y
82.0 21.75 z
83.0 21.23 g
83.0 21.61 i
83.0 21.42 r
83.0 21.07 u
83.0 21.89 y
83.0 21.77 z
84.0 21.25 g
84.0 21.63 i
84.0 21.43 r
84.0 21.08 u
84.0 21.9 y
84.0 21.78 z
85.0 21.26 g
85.0 21.64 i
85.0 21.44 r
85.0 21.09 u
85.0 21.92 y
85.0 21.8 z
86.0 21.28 g
86.0 21.66 i
86.0 21.46 r
86.0 21.11 u
86.0 21.93 y
86.0 21.81 z
87.0 21.29 g
87.0 21.67 i
87.0 21.47 r
87.0 21.12 u
87.0 21.95 y
87.0 21.83 z
88.0 21.3 g
88.0 21.69 i
88.0 21.49 r
88.0 21.14 u
